"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,85,0.8926428571,0.2570467651
0,1,85,0.8922857143,0.2243897856
0,2,85,0.8916428571,0.2175681479
0,3,85,0.8890714286,0.2539103031
0,4,85,0.8924285714,0.2239630448
1,0,85,0.8915,0.2777062452
1,1,85,0.8926428571,0.2586343082
1,2,85,0.8917142857,0.2263677229
1,3,85,0.8883571429,0.2074936455
1,4,85,0.8921428571,0.2651270059
2,0,85,0.8922857143,0.2263594441
2,1,85,0.893,0.201896763
2,2,85,0.8902857143,0.2060919103
2,3,85,0.8901428571,0.2949225794
2,4,85,0.8927857143,0.2726314573
3,0,85,0.8908571429,0.2575190968
3,1,85,0.8915714286,0.2061756584
3,2,85,0.8916428571,0.2148487581
3,3,85,0.889,0.256561188
3,4,85,0.8921428571,0.2887923972
4,0,85,0.8909285714,0.2253447648
4,1,85,0.8920714286,0.2810132307
4,2,85,0.8917857143,0.1818841661
4,3,85,0.8898571429,0.2269847377
4,4,85,0.8925,0.1959189707
0,0,90,0.8920714286,0.2649146756
0,1,90,0.8929285714,0.2833113281
0,2,90,0.8915,0.3465154724
0,3,90,0.8893571429,0.2959656925
0,4,90,0.8914285714,0.294894766
1,0,90,0.8917857143,0.3304474056
1,1,90,0.8928571429,0.3181787838
1,2,90,0.89,0.3276463159
1,3,90,0.8897857143,0.2817099143
1,4,90,0.8921428571,0.3023836798
2,0,90,0.8917142857,0.3975414063
2,1,90,0.8926428571,0.2630219243
2,2,90,0.8918571429,0.2630783895
2,3,90,0.8897857143,0.2554725054
2,4,90,0.8916428571,0.2906211865
3,0,90,0.8922142857,0.2476576898
3,1,90,0.8927857143,0.2600016729
3,2,90,0.8907857143,0.3643639659
3,3,90,0.8893571429,0.3296081803
3,4,90,0.8924285714,0.3035882535
4,0,90,0.8916428571,0.2864926877
4,1,90,0.8932857143,0.3104173359
4,2,90,0.8922857143,0.2530519054
4,3,90,0.8887857143,0.3474245441
4,4,90,0.8927142857,0.3657771527
0,0,95,0.8931428571,0.4696128937
0,1,95,0.892,0.5214763666
0,2,95,0.8923571429,0.4746771042
0,3,95,0.8886428571,0.4319080172
0,4,95,0.8922142857,0.320876476
1,0,95,0.8921428571,0.3864579951
1,1,95,0.8924285714,0.3257040682
1,2,95,0.8917857143,0.5038666415
1,3,95,0.8876428571,0.4803941116
1,4,95,0.8923571429,0.4841128468
2,0,95,0.8925714286,0.3949715995
2,1,95,0.8923571429,0.2829426287
2,2,95,0.8909285714,0.4333744359
2,3,95,0.8882142857,0.3773535128
2,4,95,0.893,0.4754133746
3,0,95,0.8928571429,0.37397784
3,1,95,0.8920714286,0.4692837041
3,2,95,0.8915714286,0.4788763709
3,3,95,0.8880714286,0.3725125315
3,4,95,0.8919285714,0.4036569865
4,0,95,0.8925714286,0.4360841607
4,1,95,0.8925,0.4129054553
4,2,95,0.8923571429,0.4399229306
4,3,95,0.8895714286,0.3906195069
4,4,95,0.8926428571,0.314344544
0,0,99,0.8925,0.6403759026
0,1,99,0.8932857143,0.5262246203
0,2,99,0.8912142857,0.5714308342
0,3,99,0.8890714286,0.6171342318
0,4,99,0.8925,0.4715987297
1,0,99,0.8921428571,0.5462757446
1,1,99,0.8931428571,0.8582113045
1,2,99,0.8919285714,0.8896401798
1,3,99,0.8871428571,0.8923340343
1,4,99,0.8929285714,0.6854249368
2,0,99,0.892,0.7423277461
2,1,99,0.8922857143,0.854079091
2,2,99,0.8915,0.6076636402
2,3,99,0.8875714286,0.5416739042
2,4,99,0.8911428571,0.5583998333
3,0,99,0.8927857143,0.7271680054
