"Mutation Number","Percentage","Accuracy","Loss"
9,25,0.99,0.0382138726
10,25,0.9907142857,0.0357681889
11,25,0.9907857143,0.0399922402
12,25,0.9904285714,0.0343148631
13,25,0.9885714286,0.0380720841
14,25,0.9910714286,0.0282761531
15,25,0.9902857143,0.0327665195
16,25,0.9862857143,0.0512900125
17,25,0.9922142857,0.0290878743
18,25,0.9913571429,0.0331484447
19,25,0.9904285714,0.036471213
0,25,0.9909285714,0.0323841558
1,25,0.9905,0.0341848286
2,25,0.991,0.0344818394
3,25,0.9907857143,0.0355258549
4,25,0.9887857143,0.0453056783
0,50,0.9914285714,0.0324058759
1,50,0.9898571429,0.0362038339
2,50,0.9906428571,0.0333543699
3,50,0.9909285714,0.0368102012
4,50,0.9901428571,0.0378452204
5,50,0.9905,0.0364137632
6,50,0.9895714286,0.0354443731
7,50,0.9901428571,0.0392316231
8,50,0.9887857143,0.0364033026
9,50,0.9897857143,0.0421390495
10,50,0.9906428571,0.0346291004
11,50,0.9901428571,0.0379511682
12,50,0.9911428571,0.0320477162
13,50,0.9896428571,0.0416398336
14,50,0.9912142857,0.0310194636
15,50,0.9892857143,0.0337215153
16,50,0.9898571429,0.0389407164
17,50,0.9912142857,0.0300909078
18,50,0.9905714286,0.0348506416
19,50,0.9903571429,0.031468143
0,50,0.989,0.0366189082
1,50,0.9897857143,0.0335747459
2,50,0.9916428571,0.0322873976
3,50,0.9902857143,0.0352052922
4,50,0.9895714286,0.0389983916
0,75,0.9902857143,0.0350529095
1,75,0.9884285714,0.0400222967
2,75,0.9907857143,0.031929521
3,75,0.9904285714,0.0364901166
4,75,0.9884285714,0.0461001467
5,75,0.9900714286,0.0386874437
6,75,0.9896428571,0.0387532393
7,75,0.9904285714,0.0421335634
8,75,0.9886428571,0.0402732326
9,75,0.9883571429,0.039820305
10,75,0.9895,0.0449294873
11,75,0.9893571429,0.0401908703
12,75,0.9894285714,0.0402494134
13,75,0.9893571429,0.0406431632
14,75,0.9917142857,0.0297464635
15,75,0.9892142857,0.0351654666
16,75,0.9881428571,0.0449957496
17,75,0.9907857143,0.0303752229
18,75,0.9909285714,0.0316516183
19,75,0.9894285714,0.036045388
0,75,0.9901428571,0.0352583356
1,75,0.9902857143,0.0379174708
2,75,0.9905714286,0.0328992195
3,75,0.9909285714,0.0347091996
4,75,0.9901428571,0.0378010582
0,80,0.9894285714,0.0368779908
1,80,0.9885,0.0399804881
2,80,0.9909285714,0.0337225806
3,80,0.99,0.036605284
4,80,0.9895714286,0.0379711953
5,80,0.9890714286,0.0400557283
6,80,0.9885,0.0418914553
7,80,0.9893571429,0.0409165198
8,80,0.9895714286,0.0374795469
9,80,0.9880714286,0.0474780132
10,80,0.9897142857,0.0381045618
11,80,0.9910714286,0.0348396493
12,80,0.9902857143,0.0323362002
13,80,0.9876428571,0.0407073919
14,80,0.9910714286,0.0326624656
15,80,0.9898571429,0.0314065846
16,80,0.9882142857,0.0442476163
17,80,0.9893571429,0.0361366795
18,80,0.9892857143,0.0367342964
19,80,0.9895,0.0384010408
0,80,0.9900714286,0.0370037124
1,80,0.9892142857,0.0374789632
2,80,0.9902857143,0.0339164492
3,80,0.9902142857,0.0385366753
4,80,0.9895714286,0.0389922625
0,85,0.9901428571,0.0352161615
1,85,0.9889285714,0.0383710826
2,85,0.9905714286,0.0367625859
3,85,0.9894285714,0.0392102344
4,85,0.9896428571,0.038818665
5,85,0.9901428571,0.0393648366
6,85,0.989,0.0388303663
7,85,0.9897142857,0.0412292556
8,85,0.9883571429,0.0414621832
9,85,0.9886428571,0.0423749816
10,85,0.9881428571,0.0440596586
11,85,0.9895714286,0.038963075
