Mutation Number,Run Num,Percentage,Scale,Accuracy,Loss
1,2,0.01,0.75,0.9892857,0.034192957315556535
1,2,0.01,0.5,0.9892143,0.03420163499983859
1,2,0.01,0.25,0.9892857,0.03422133724703703
1,2,0.01,1.0,0.9892857,0.034223273811612415
1,3,1.0,0.75,0.98978573,0.04359685921728942
1,3,1.0,0.5,0.9893571,0.04604491900518899
1,3,1.0,0.25,0.9876429,0.05613503727400322
1,3,1.0,1.0,0.9894286,0.04213034487489741
1,3,0.25,0.75,0.9908571,0.03085067774810367
1,3,0.25,0.5,0.991,0.030790899359479745
1,3,0.25,0.25,0.991,0.03090898904253845
1,3,0.25,1.0,0.98971426,0.03817399103750566
1,3,0.5,0.75,0.9892857,0.04285400104679398
1,3,0.5,0.5,0.9908571,0.032343400966591225
1,3,0.5,0.25,0.9910714,0.03594412418120412
1,3,0.5,1.0,0.9910714,0.03396922192977322
1,3,0.75,0.75,0.99042857,0.03747150991945403
1,3,0.75,0.5,0.9905,0.03454985990025931
1,3,0.75,0.25,0.9907143,0.0358508132416946
1,3,0.75,1.0,0.98792857,0.04932463996174848
1,3,0.01,0.75,0.9908571,0.03096353710776228
1,3,0.01,0.5,0.9908571,0.030962205363304487
1,3,0.01,0.25,0.9908571,0.030962205363304487
1,3,0.01,1.0,0.9907857,0.03094827416503644
1,4,1.0,0.75,0.98792857,0.05597224196444394
1,4,1.0,0.5,0.9892857,0.04565654879332305
1,4,1.0,0.25,0.98814285,0.053255864174535095
1,4,1.0,1.0,0.98878574,0.04787489232773864
1,4,0.25,0.75,0.98978573,0.03560380241999623
1,4,0.25,0.5,0.98992854,0.03753304082895036
1,4,0.25,0.25,0.9902857,0.03860086353260444
1,4,0.25,1.0,0.99057144,0.03955789039029722
1,4,0.5,0.75,0.99,0.03526402586491687
1,4,0.5,0.5,0.9900714,0.039975672035100225
1,4,0.5,0.25,0.98978573,0.03992953429366025
1,4,0.5,1.0,0.98992854,0.043297308731776084
1,4,0.75,0.75,0.98992854,0.04128610298359938
