"Run Number","Mutation Number","Percentage","Accuracy","Loss"
1,4,25,0.989,0.0379978408
2,0,25,0.9902142857,0.0331136476
2,1,25,0.9903571429,0.0398658072
2,2,25,0.9909285714,0.0340946807
2,3,25,0.9895,0.0369594659
2,4,25,0.9909285714,0.035883519
3,0,25,0.9909285714,0.0307261486
3,1,25,0.9909285714,0.0347261447
3,2,25,0.9908571429,0.0361264927
3,3,25,0.9905,0.0356735448
3,4,25,0.9912857143,0.0350284477
4,0,25,0.9902857143,0.0360118777
4,1,25,0.9902857143,0.0330284363
4,2,25,0.9911428571,0.0317869226
4,3,25,0.9905,0.036913554
4,4,25,0.9907857143,0.0380767071
0,0,50,0.9908571429,0.0336633135
0,1,50,0.9907857143,0.0333063507
0,2,50,0.9907857143,0.0300564565
0,3,50,0.9908571429,0.0330574567
0,4,50,0.9903571429,0.0381528072
1,0,50,0.9899285714,0.0326474883
1,1,50,0.9911428571,0.0313439835
1,2,50,0.9910714286,0.0349281371
1,3,50,0.9912142857,0.0345489116
1,4,50,0.9900714286,0.0393831783
2,0,50,0.9901428571,0.0354094856
2,1,50,0.9908571429,0.0329296134
2,2,50,0.9905,0.0374571633
2,3,50,0.9905,0.0355913586
2,4,50,0.991,0.0378649877
3,0,50,0.9909285714,0.0334636906
3,1,50,0.9913571429,0.032188699
3,2,50,0.9922142857,0.0310031778
3,3,50,0.9915,0.0339848599
3,4,50,0.9908571429,0.0389716103
4,0,50,0.9903571429,0.0339099704
4,1,50,0.9870714286,0.0447385342
4,2,50,0.9912857143,0.0316316827
4,3,50,0.9905,0.0352104807
4,4,50,0.9912142857,0.0357188977
0,0,75,0.9912142857,0.0332352444
0,1,75,0.9907857143,0.0360298181
0,2,75,0.9925,0.0337254826
0,3,75,0.9902142857,0.0400810997
0,4,75,0.9905,0.0387331538
1,0,75,0.9910714286,0.0332885609
1,1,75,0.9907142857,0.0316050206
1,2,75,0.9912142857,0.0304715214
1,3,75,0.9895714286,0.0374592158
1,4,75,0.9910714286,0.0367264226
2,0,75,0.9905,0.0359039511
2,1,75,0.9906428571,0.0347668673
2,2,75,0.992,0.0322045182
2,3,75,0.9903571429,0.0345607728
2,4,75,0.99,0.0369545654
3,0,75,0.9909285714,0.0338280555
3,1,75,0.9913571429,0.0315830972
3,2,75,0.9911428571,0.0354184011
3,3,75,0.9904285714,0.0407378845
3,4,75,0.9905714286,0.0378195669
4,0,75,0.9913571429,0.0315501174
4,1,75,0.9893571429,0.0368170906
4,2,75,0.9916428571,0.0320010619
4,3,75,0.9912857143,0.0329326985
4,4,75,0.9903571429,0.038525152
0,0,80,0.9902857143,0.0327987374
0,1,80,0.9913571429,0.0298345994
0,2,80,0.9912142857,0.0326952846
0,3,80,0.9906428571,0.0336457949
0,4,80,0.9905,0.0361610424
1,0,80,0.9902857143,0.0325509033
1,1,80,0.9909285714,0.0358855391
1,2,80,0.9922142857,0.0300698835
1,3,80,0.9912142857,0.0353127444
1,4,80,0.9915,0.0348953964
2,0,80,0.9913571429,0.036029591
2,1,80,0.9902857143,0.0362310628
2,2,80,0.992,0.0302969627
2,3,80,0.991,0.0345707673
2,4,80,0.9908571429,0.03423437
3,0,80,0.9904285714,0.0362731082
3,1,80,0.9903571429,0.032461287
3,2,80,0.9913571429,0.0353664625
3,3,80,0.9906428571,0.0354756334
3,4,80,0.9909285714,0.0350634192
4,0,80,0.9907142857,0.0351099278
4,1,80,0.9912142857,0.0318184626
4,2,80,0.9917142857,0.0333732464
4,3,80,0.9907142857,0.0323796265
4,4,80,0.9909285714,0.03611378
0,0,85,0.991,0.0327468919
0,1,85,0.991,0.0341831254
0,2,85,0.9913571429,0.0315731964
0,3,85,0.9907142857,0.0338424495
0,4,85,0.9907857143,0.0380411534
1,0,85,0.9917142857,0.0309773981
1,1,85,0.9905,0.0341410394
1,2,85,0.9902857143,0.0385908228
1,3,85,0.991,0.0320822767
1,4,85,0.9906428571,0.0360562565
2,0,85,0.9906428571,0.0319636773
2,1,85,0.9909285714,0.033122351
2,2,85,0.9912857143,0.0332487062
2,3,85,0.9914285714,0.034391634
2,4,85,0.9908571429,0.036411661
3,0,85,0.9914285714,0.0312558436
3,1,85,0.9913571429,0.0324512305
3,2,85,0.9912857143,0.0330239131
3,3,85,0.9910714286,0.03315191
3,4,85,0.9892142857,0.0432819782
4,0,85,0.991,0.0341052005
4,1,85,0.9908571429,0.0362862721
4,2,85,0.9928571429,0.0325169717
4,3,85,0.9913571429,0.0319257907
4,4,85,0.9889285714,0.0422029329
0,0,90,0.9907142857,0.0353969753
0,1,90,0.9921428571,0.029265028
0,2,90,0.9915714286,0.0332775653
0,3,90,0.9894285714,0.0429778721
0,4,90,0.9909285714,0.0361043602
1,0,90,0.9908571429,0.0333896965
1,1,90,0.9904285714,0.0332422756
1,2,90,0.9916428571,0.0320908974
1,3,90,0.9899285714,0.0331844864
1,4,90,0.9913571429,0.0391076363
2,0,90,0.9894285714,0.037245221
2,1,90,0.9910714286,0.0321471991
2,2,90,0.9919285714,0.0306454481
2,3,90,0.9896428571,0.0368362376
2,4,90,0.9893571429,0.0407030704
3,0,90,0.9907142857,0.0310671094
3,1,90,0.9910714286,0.0351272696
3,2,90,0.9897857143,0.0396506962
3,3,90,0.9905714286,0.0345541191
3,4,90,0.9906428571,0.0387662026
4,0,90,0.9868571429,0.0407872231
4,1,90,0.9895,0.0398381217
4,2,90,0.9916428571,0.0325882565
4,3,90,0.9913571429,0.0348524514
4,4,90,0.9907142857,0.0354388272
0,0,95,0.991,0.030648574
0,1,95,0.9904285714,0.0427559569
0,2,95,0.991,0.0374181233
0,3,95,0.9907857143,0.033976199
0,4,95,0.991,0.0364426457
1,0,95,0.9910714286,0.0357696974
1,1,95,0.9909285714,0.0308826191
1,2,95,0.9912142857,0.0366425652
1,3,95,0.9894285714,0.0348416137
1,4,95,0.9902142857,0.0370618488
2,0,95,0.9900714286,0.0403851551
2,1,95,0.9905,0.0338202649
2,2,95,0.992,0.0316379987
2,3,95,0.9904285714,0.0356496373
2,4,95,0.9896428571,0.0370409946
3,0,95,0.9912142857,0.0325390966
3,1,95,0.9912857143,0.0322594633
3,2,95,0.9914285714,0.0368408756
3,3,95,0.9901428571,0.0345844124
3,4,95,0.9898571429,0.0359664072
4,0,95,0.9915714286,0.0301655695
4,1,95,0.9911428571,0.0334494153
4,2,95,0.9914285714,0.0333555196
4,3,95,0.9907142857,0.0354614692
4,4,95,0.9914285714,0.0350623988
0,0,99,0.9907142857,0.0346685879
0,1,99,0.9911428571,0.0345185933
0,2,99,0.9914285714,0.033227236
0,3,99,0.9906428571,0.032066555
0,4,99,0.9904285714,0.0402386279
1,0,99,0.9911428571,0.0333043086
1,1,99,0.9906428571,0.0353121119
1,2,99,0.9911428571,0.0332152258
1,3,99,0.9911428571,0.0344549708
1,4,99,0.9910714286,0.0358647753
2,0,99,0.9909285714,0.0324005616
2,1,99,0.9904285714,0.031434859
2,2,99,0.9892857143,0.0439775979
2,3,99,0.9892857143,0.0405469205
2,4,99,0.9904285714,0.0398558798
3,0,99,0.9911428571,0.0295623862
3,1,99,0.9908571429,0.0313996671
3,2,99,0.9917857143,0.0320350025
3,3,99,0.9905714286,0.0365838441
3,4,99,0.99,0.0407514275
4,0,99,0.9904285714,0.0348467124
4,1,99,0.9915,0.0322519313
4,2,99,0.9911428571,0.0336966617
4,3,99,0.9906428571,0.0332334586
