Run Number,Percentage,St_Dev,Accuracy,Loss
0,0.75,0.75,0.9909286,0.031030687
1,0.75,0.75,0.98978573,0.034614874
2,0.75,0.75,0.99114287,0.030514785
3,0.75,0.75,0.9902143,0.037696682
4,0.75,0.75,0.9917857,0.0342835
5,0.75,0.75,0.98971426,0.036123434
6,0.75,0.75,0.9895,0.034017339
7,0.75,0.75,0.99035716,0.041609948
8,0.75,0.75,0.9907857,0.036680924
9,0.75,0.75,0.98807144,0.046699366
10,0.75,0.75,0.99035716,0.036491488
11,0.75,0.75,0.99057144,0.038800049
12,0.75,0.75,0.98957145,0.03761483
13,0.75,0.75,0.98914284,0.041858844
14,0.75,0.75,0.992,0.028179306
15,0.75,0.75,0.9902857,0.032454188
16,0.75,0.75,0.9886429,0.04260173
17,0.75,0.75,0.9910714,0.032025141
18,0.75,0.75,0.9905,0.037174071
19,0.75,0.75,0.9908571,0.031798364
0,0.75,1,0.99128574,0.030014893
1,0.75,1,0.98971426,0.035094944
2,0.75,1,0.9909286,0.032917633
3,0.75,1,0.9908571,0.035651726
4,0.75,1,0.99135715,0.034404935
5,0.75,1,0.98742855,0.045554559
6,0.75,1,0.98992854,0.033890593
7,0.75,1,0.98971426,0.047993471
8,0.75,1,0.99035716,0.037302796
9,0.75,1,0.9875,0.047585347
10,0.75,1,0.99057144,0.036578731
11,0.75,1,0.99042857,0.037187992
12,0.75,1,0.99,0.041666319
13,0.75,1,0.9885714,0.042021868
14,0.75,1,0.99057144,0.031351982
15,0.75,1,0.9902143,0.031320587
16,0.75,1,0.98785716,0.045549219
17,0.75,1,0.99135715,0.030474511
18,0.75,1,0.9893571,0.041118699
19,0.75,1,0.99064285,0.031273653
0,1,0.1,0.9907857,0.031159604
1,1,0.1,0.99,0.033416222
2,1,0.1,0.99142855,0.031679457
3,1,0.1,0.991,0.036621167
4,1,0.1,0.99164283,0.034031182
5,1,0.1,0.9900714,0.035472658
6,1,0.1,0.98985714,0.033057412
7,1,0.1,0.99042857,0.046158102
8,1,0.1,0.9908571,0.036015429
9,1,0.1,0.98792857,0.046938359
10,1,0.1,0.99035716,0.037599286
11,1,0.1,0.9908571,0.038206534
12,1,0.1,0.98985714,0.040552099
13,1,0.1,0.98957145,0.041141935
14,1,0.1,0.992,0.028660307
15,1,0.1,0.9901429,0.032438284
16,1,0.1,0.9882857,0.043773987
17,1,0.1,0.991,0.030515308
18,1,0.1,0.99035716,0.03894506
19,1,0.1,0.99114287,0.031878008
0,1,0.25,0.9909286,0.031356384
1,1,0.25,0.99042857,0.032651968
2,1,0.25,0.99114287,0.031788804
3,1,0.25,0.9907143,0.036668577
4,1,0.25,0.9917857,0.033486071
5,1,0.25,0.98992854,0.036463689
6,1,0.25,0.99,0.033186577
7,1,0.25,0.99035716,0.045608438
8,1,0.25,0.9907857,0.036344057
9,1,0.25,0.98792857,0.046902603
10,1,0.25,0.99064285,0.036632878
11,1,0.25,0.99064285,0.038271326
12,1,0.25,0.9902143,0.040204324
13,1,0.25,0.98985714,0.041079871
14,1,0.25,0.99214286,0.028766069
15,1,0.25,0.9901429,0.032397349
16,1,0.25,0.9882143,0.043929123
17,1,0.25,0.9912143,0.030208216
18,1,0.25,0.99,0.039931955
19,1,0.25,0.99064285,0.031870088
0,1,0.5,0.9909286,0.03074614
1,1,0.5,0.99035716,0.031671749
2,1,0.5,0.9907857,0.031790199
3,1,0.5,0.99114287,0.03647567
4,1,0.5,0.9915714,0.034775958
5,1,0.5,0.98978573,0.03649569
6,1,0.5,0.98978573,0.032716606
7,1,0.5,0.9901429,0.045439333
8,1,0.5,0.9907143,0.035969147
9,1,0.5,0.98785716,0.046704295
10,1,0.5,0.98971426,0.039074523
11,1,0.5,0.9907857,0.03705964
12,1,0.5,0.9892143,0.042599297
13,1,0.5,0.9893571,0.041641521
14,1,0.5,0.9915714,0.029511723
15,1,0.5,0.98985714,0.03061093
16,1,0.5,0.98792857,0.042659525
17,1,0.5,0.9907143,0.030591288
18,1,0.5,0.99,0.039131022
19,1,0.5,0.99057144,0.032806939
0,1,0.75,0.98985714,0.034465235
1,1,0.75,0.99035716,0.033745783
2,1,0.75,0.99035716,0.032427506
3,1,0.75,0.9909286,0.036497419
4,1,0.75,0.9915,0.034329687
5,1,0.75,0.9894286,0.037843194
6,1,0.75,0.98978573,0.033259325
7,1,0.75,0.98985714,0.046738627
8,1,0.75,0.99042857,0.035879274
9,1,0.75,0.9886429,0.045821771
10,1,0.75,0.9902143,0.03801756
11,1,0.75,0.99057144,0.04133605
12,1,0.75,0.98964286,0.043084585
13,1,0.75,0.9895,0.0426084
14,1,0.75,0.9915,0.029822301
15,1,0.75,0.9895,0.032778834
16,1,0.75,0.98814285,0.046065918
17,1,0.75,0.9912143,0.030583432
18,1,0.75,0.9902857,0.038227004
19,1,0.75,0.9908571,0.033087882
0,1,1,0.9912143,0.031039225
1,1,1,0.98964286,0.034150579
2,1,1,0.99135715,0.031877789
3,1,1,0.98964286,0.039209553
4,1,1,0.9908571,0.034919118
5,1,1,0.9876429,0.045560795
6,1,1,0.98785716,0.039145974
7,1,1,0.98964286,0.044574039
8,1,1,0.9900714,0.037074186
9,1,1,0.98814285,0.045916385
10,1,1,0.9902857,0.035890708
11,1,1,0.9900714,0.038724447
12,1,1,0.989,0.042237235
13,1,1,0.98892856,0.041030914
14,1,1,0.98892856,0.035381286
15,1,1,0.98992854,0.032288384
16,1,1,0.988,0.043493
17,1,1,0.9912143,0.031782208
18,1,1,0.9900714,0.039544079
19,1,1,0.9892143,0.036821499
