"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy","Loss"
4,2,85,50,0.989,0.0447893349
4,3,85,50,0.9873571429,0.0479578057
4,4,85,50,0.9897142857,0.0423470674
0,1,85,75,0.9886428571,0.0393979514
0,2,85,75,0.9877857143,0.0450472237
0,3,85,75,0.9896428571,0.0390912979
0,4,85,75,0.9884285714,0.0399038266
0,,85,75,0.9896428571,0.0365924159
1,1,85,75,0.9891428571,0.04365014
1,2,85,75,0.9895714286,0.0359141767
1,3,85,75,0.9896428571,0.0381780569
1,4,85,75,0.9892142857,0.0399016567
1,,85,75,0.9887857143,0.0427923868
2,1,85,75,0.9907142857,0.0349367964
2,2,85,75,0.9903571429,0.034392193
2,3,85,75,0.9916428571,0.0335855161
2,4,85,75,0.9902857143,0.0340804026
2,,85,75,0.9903571429,0.0360683289
3,1,85,75,0.9898571429,0.0413036765
3,2,85,75,0.989,0.0428757744
3,3,85,75,0.9895,0.0377335303
3,4,85,75,0.9894285714,0.0388165
3,,85,75,0.9892142857,0.0382334013
4,1,85,75,0.9863571429,0.0488264345
4,2,85,75,0.9897142857,0.0399371164
4,3,85,75,0.9877857143,0.0455060398
4,4,85,75,0.988,0.0436605286
4,,85,75,0.9882142857,0.0417230894
0,1,85,100,0.9894285714,0.0364542266
0,2,85,100,0.9897857143,0.0337149884
0,3,85,100,0.9876428571,0.0433817327
0,4,85,100,0.9898571429,0.0367751245
0,,85,100,0.9904285714,0.0381932605
1,1,85,100,0.9894285714,0.03721048
1,2,85,100,0.9905714286,0.0331859657
1,3,85,100,0.9896428571,0.0355015993
1,4,85,100,0.9889285714,0.0417406764
1,,85,100,0.989,0.040657362
2,1,85,100,0.9900714286,0.0341488352
2,2,85,100,0.991,0.0347099528
2,3,85,100,0.9899285714,0.0378229315
2,4,85,100,0.9902857143,0.033309555
2,,85,100,0.9894285714,0.0352558725
3,1,85,100,0.9902142857,0.0390676662
3,2,85,100,0.9898571429,0.0391728889
3,3,85,100,0.9905,0.0375101538
3,4,85,100,0.9905714286,0.0394844963
3,,85,100,0.9902142857,0.0342763517
4,1,85,100,0.9883571429,0.0393509177
4,2,85,100,0.9893571429,0.0377812824
4,3,85,100,0.9889285714,0.0449526661
4,4,85,100,0.9888571429,0.0429410715
4,,85,100,0.9903571429,0.0353494832
0,1,90,25,0.9891428571,0.0418308994
0,2,90,25,0.9887857143,0.0421963684
0,3,90,25,0.9877857143,0.0392552007
0,4,90,25,0.9892142857,0.0397186932
0,,90,25,0.9894285714,0.0420858725
1,1,90,25,0.9880714286,0.044517965
1,2,90,25,0.9897857143,0.0374401127
1,3,90,25,0.9872857143,0.0445408722
1,4,90,25,0.9885,0.0423185852
1,,90,25,0.9884285714,0.0425565655
2,1,90,25,0.9902857143,0.0335773407
2,2,90,25,0.9885714286,0.0399563043
2,3,90,25,0.9895714286,0.0355376978
2,4,90,25,0.9878571429,0.0400794657
2,,90,25,0.9902142857,0.0360165921
3,1,90,25,0.9902857143,0.0357984058
3,2,90,25,0.9895714286,0.041533085
3,3,90,25,0.9870714286,0.0511810633
3,4,90,25,0.9901428571,0.0388228834
3,,90,25,0.9899285714,0.0379624518
4,1,90,25,0.9880714286,0.0421600093
4,2,90,25,0.9904285714,0.0382241935
4,3,90,25,0.9886428571,0.0406080181
4,4,90,25,0.9869285714,0.0447148879
4,,90,25,0.9874285714,0.0492372914
0,1,90,50,0.9872142857,0.0429634784
0,2,90,50,0.9869285714,0.0448574313
0,3,90,50,0.9884285714,0.0394388801
0,4,90,50,0.9904285714,0.0356262805
0,,90,50,0.9895714286,0.0402678147
1,1,90,50,0.9895,0.0354899035
1,2,90,50,0.9876428571,0.0449186734
1,3,90,50,0.9888571429,0.0375118814
1,4,90,50,0.9886428571,0.0369204157
1,,90,50,0.9879285714,0.0454926895
2,1,90,50,0.991,0.0355896716
2,2,90,50,0.9887857143,0.0395693051
2,3,90,50,0.9902142857,0.0367560701
2,4,90,50,0.9895,0.0400136957
2,,90,50,0.9907857143,0.034644867
3,1,90,50,0.9885,0.0467780618
3,2,90,50,0.9897857143,0.0420008262
3,3,90,50,0.9873571429,0.0498519699
3,4,90,50,0.9889285714,0.0411953583
3,,90,50,0.9889285714,0.0389296692
4,1,90,50,0.9885,0.0424086414
4,2,90,50,0.9880714286,0.0447639311
4,3,90,50,0.988,0.0461172958
4,4,90,50,0.9885,0.0411739517
4,,90,50,0.9850714286,0.0593156099
0,1,90,75,0.9900714286,0.0373687722
0,2,90,75,0.9875714286,0.0457178848
0,3,90,75,0.9897857143,0.0390436
0,4,90,75,0.9897142857,0.0393405977
0,,90,75,0.9897142857,0.0378346849
1,1,90,75,0.9870714286,0.0462621576
1,2,90,75,0.9885,0.0410232731
1,3,90,75,0.9881428571,0.0403175346
1,4,90,75,0.9863571429,0.0436054813
1,,90,75,0.9856428571,0.0518966056
2,1,90,75,0.9892142857,0.0376472193
2,2,90,75,0.9905,0.0375982496
2,3,90,75,0.9885714286,0.0405818172
2,4,90,75,0.9893571429,0.0376841878
2,,90,75,0.9882142857,0.0415169683
3,1,90,75,0.9908571429,0.0329592097
3,2,90,75,0.9887857143,0.0441009713
3,3,90,75,0.9893571429,0.0380871363
3,4,90,75,0.9882857143,0.043887982
3,,90,75,0.988,0.0451577048
4,1,90,75,0.988,0.0436559475
4,2,90,75,0.9892142857,0.0434590477
4,3,90,75,0.9877142857,0.0457367801
4,4,90,75,0.9880714286,0.0447630553
4,,90,75,0.9877857143,0.0457332423
0,1,90,100,0.9877142857,0.0435824742
0,2,90,100,0.988,0.0453832329
0,3,90,100,0.989,0.0428531161
0,4,90,100,0.9898571429,0.0355918331
0,,90,100,0.9890714286,0.0405138998
1,1,90,100,0.989,0.0400803658
1,2,90,100,0.9882142857,0.0435591654
1,3,90,100,0.9877142857,0.0463496155
1,4,90,100,0.9890714286,0.0411620586
1,,90,100,0.9881428571,0.0393668811
2,1,90,100,0.9898571429,0.0380046646
2,2,90,100,0.9902857143,0.037183315
2,3,90,100,0.9897142857,0.0364462044
2,4,90,100,0.9899285714,0.0391350752
2,,90,100,0.9875714286,0.0422197104
3,1,90,100,0.9873571429,0.0444792542
3,2,90,100,0.9895714286,0.0411012274
3,3,90,100,0.9895714286,0.0398468477
3,4,90,100,0.9900714286,0.0392991575
3,,90,100,0.9900714286,0.0361955314
4,1,90,100,0.9894285714,0.0437407231
4,2,90,100,0.988,0.04350389
4,3,90,100,0.9890714286,0.0407469156
4,4,90,100,0.9891428571,0.0435880208
4,,90,100,0.9884285714,0.0421393381
0,1,95,25,0.9874285714,0.0531157776
0,2,95,25,0.9883571429,0.0442012318
0,3,95,25,0.9888571429,0.0407962675
0,4,95,25,0.9866428571,0.0493464213
0,,95,25,0.9857857143,0.0521983309
1,1,95,25,0.9871428571,0.0467333628
1,2,95,25,0.9878571429,0.0454695647
1,3,95,25,0.987,0.0480309931
1,4,95,25,0.9877142857,0.0443250351
1,,95,25,0.9862857143,0.0515166066
2,1,95,25,0.9892857143,0.0379538165
2,2,95,25,0.9882857143,0.0455686223
2,3,95,25,0.9884285714,0.0421593042
2,4,95,25,0.989,0.0411777146
2,,95,25,0.9879285714,0.0446486602
3,1,95,25,0.9885,0.0447425264
3,2,95,25,0.9865714286,0.0496108462
3,3,95,25,0.9872142857,0.0520252693
3,4,95,25,0.989,0.0434081994
3,,95,25,0.9881428571,0.0459829184
4,1,95,25,0.9850714286,0.0545008413
4,2,95,25,0.9869285714,0.0496955
4,3,95,25,0.9853571429,0.0528527802
4,4,95,25,0.9859285714,0.0570630767
4,,95,25,0.9858571429,0.0503687068
0,1,95,50,0.9868571429,0.0518397146
0,2,95,50,0.9862857143,0.0490700249
0,3,95,50,0.986,0.0527562397
0,4,95,50,0.9864285714,0.0530636043
0,,95,50,0.9884285714,0.0413821333
1,1,95,50,0.9850714286,0.0573348424
1,2,95,50,0.9845714286,0.0607089639
1,3,95,50,0.9866428571,0.0499004031
1,4,95,50,0.9885714286,0.0424063888
1,,95,50,0.9867142857,0.0488891211
2,1,95,50,0.9863571429,0.049526187
2,2,95,50,0.9876428571,0.0436427015
2,3,95,50,0.9875,0.0455637616
2,4,95,50,0.989,0.039564474
2,,95,50,0.9860714286,0.0500070781
3,1,95,50,0.9872142857,0.0452417725
3,2,95,50,0.988,0.0489090654
3,3,95,50,0.9871428571,0.0458510753
3,4,95,50,0.9892857143,0.0415180003
3,,95,50,0.9854285714,0.052799002
4,1,95,50,0.9865,0.0522772581
4,2,95,50,0.9866428571,0.049905773
4,3,95,50,0.986,0.0515944644
4,4,95,50,0.9857142857,0.0532822662
4,,95,50,0.9829285714,0.0649837221
0,1,95,75,0.9854285714,0.055484392
0,2,95,75,0.9884285714,0.0384514237
0,3,95,75,0.9859285714,0.0489713106
0,4,95,75,0.9876428571,0.0460229068
0,,95,75,0.9877142857,0.0406982559
1,1,95,75,0.9868571429,0.051899271
1,2,95,75,0.9868571429,0.0500448812
1,3,95,75,0.9877857143,0.0461152392
1,4,95,75,0.9882857143,0.0424572216
1,,95,75,0.9867857143,0.0454742643
2,1,95,75,0.9870714286,0.0468664361
2,2,95,75,0.9882857143,0.0449484174
2,3,95,75,0.9902857143,0.0357986946
2,4,95,75,0.9872857143,0.044742718
2,,95,75,0.9903571429,0.0408726293
3,1,95,75,0.9867857143,0.0487958909
3,2,95,75,0.9869285714,0.0504700912
3,3,95,75,0.9892857143,0.0419519942
3,4,95,75,0.9879285714,0.047337462
3,,95,75,0.9872857143,0.0440762752
4,1,95,75,0.9867857143,0.0491662949
4,2,95,75,0.9887142857,0.043974511
4,3,95,75,0.9838571429,0.0620624047
4,4,95,75,0.9869285714,0.0488970448
4,,95,75,0.9867142857,0.0489145027
0,1,95,100,0.9870714286,0.045744883
0,2,95,100,0.9885,0.0420284627
0,3,95,100,0.9857857143,0.0505902477
0,4,95,100,0.988,0.0427478122
0,,95,100,0.9864285714,0.0519695414
1,1,95,100,0.9872857143,0.0398831189
1,2,95,100,0.9877857143,0.0446926092
1,3,95,100,0.9885,0.0440123681
1,4,95,100,0.9847142857,0.0581030111
1,,95,100,0.9834285714,0.059752838
2,1,95,100,0.9872857143,0.0490130884
2,2,95,100,0.989,0.0386380779
2,3,95,100,0.9879285714,0.0464378288
2,4,95,100,0.9875,0.0436146389
2,,95,100,0.986,0.0519250978
3,1,95,100,0.986,0.0496324162
3,2,95,100,0.9893571429,0.0435869991
3,3,95,100,0.9877142857,0.0474714576
3,4,95,100,0.9851428571,0.0505979671
3,,95,100,0.986,0.0485352656
4,1,95,100,0.9845,0.0552981868
4,2,95,100,0.9879285714,0.0472704082
4,3,95,100,0.986,0.0476372102
4,4,95,100,0.9870714286,0.0519908265
4,,95,100,0.9831428571,0.0575428048
0,1,99,25,0.9767142857,0.0979048088
0,2,99,25,0.9714285714,0.120648933
0,3,99,25,0.9762857143,0.0892236951
0,4,99,25,0.9786428571,0.0824166721
0,,99,25,0.9775714286,0.0794791462
1,1,99,25,0.9767857143,0.0887460602
1,2,99,25,0.9807142857,0.0742363563
1,3,99,25,0.9691428571,0.1233852035
1,4,99,25,0.9720714286,0.1146003105
1,,99,25,0.9755714286,0.0873342649
2,1,99,25,0.9805714286,0.0687866545
2,2,99,25,0.9783571429,0.0739866078
2,3,99,25,0.9756428571,0.0969830663
2,4,99,25,0.9802142857,0.0736328794
2,,99,25,0.9819285714,0.0677487006
3,1,99,25,0.9733571429,0.1002753859
3,2,99,25,0.9770714286,0.0941790227
3,3,99,25,0.9812857143,0.0689959998
3,4,99,25,0.9797857143,0.0721265768
3,,99,25,0.9752857143,0.0970302857
4,1,99,25,0.9738571429,0.1111181006
4,2,99,25,0.9752142857,0.0895105229
4,3,99,25,0.9737857143,0.1025157202
4,4,99,25,0.9715,0.1098327859
4,,99,25,0.9748571429,0.1008040232
0,1,99,50,0.9747142857,0.0920591031
0,2,99,50,0.9747142857,0.103360088
0,3,99,50,0.9750714286,0.0936294418
0,4,99,50,0.9690714286,0.120966239
0,,99,50,0.9782857143,0.0844191081
1,1,99,50,0.9756428571,0.0937284045
1,2,99,50,0.9789285714,0.0819706632
1,3,99,50,0.9747142857,0.1001203183
1,4,99,50,0.9738571429,0.1020766913
1,,99,50,0.9754285714,0.1041760875
2,1,99,50,0.9778571429,0.0822811269
2,2,99,50,0.9731428571,0.1004893337
2,3,99,50,0.9726428571,0.1086847967
2,4,99,50,0.9804285714,0.0711425671
2,,99,50,0.9788571429,0.0832467725
3,1,99,50,0.9806428571,0.0772786231
3,2,99,50,0.9752857143,0.0874059706
3,3,99,50,0.9794285714,0.0766008943
3,4,99,50,0.9745714286,0.1029855568
3,,99,50,0.9797142857,0.0800661857
4,1,99,50,0.9789285714,0.078301777
4,2,99,50,0.9767857143,0.0916371335
4,3,99,50,0.9666428571,0.1467172811
4,4,99,50,0.9742142857,0.1091119269
4,,99,50,0.9798571429,0.0764500508
0,1,99,75,0.9787857143,0.0797032285
0,2,99,75,0.9739285714,0.0936480057
0,3,99,75,0.9795714286,0.0693061287
0,4,99,75,0.9752142857,0.0962952228
0,,99,75,0.981,0.0705337119
1,1,99,75,0.9682857143,0.1223944197
1,2,99,75,0.98,0.0752094814
1,3,99,75,0.9772142857,0.0890196636
1,4,99,75,0.9795,0.0775152453
1,,99,75,0.9832142857,0.0621468474
2,1,99,75,0.9746428571,0.096813489
2,2,99,75,0.975,0.0959927774
2,3,99,75,0.9840714286,0.0560429411
2,4,99,75,0.9791428571,0.0770929283
2,,99,75,0.9807857143,0.0704153311
3,1,99,75,0.9766428571,0.0818895771
3,2,99,75,0.9810714286,0.0666197511
3,3,99,75,0.9756428571,0.0972089604
3,4,99,75,0.9804285714,0.0738354834
3,,99,75,0.9757857143,0.0877642197
4,1,99,75,0.9782857143,0.0817786109
4,2,99,75,0.9742857143,0.0994073915
4,3,99,75,0.9771428571,0.0755972024
4,4,99,75,0.9706428571,0.107065956
4,,99,75,0.9760714286,0.0894291018
0,1,99,100,0.9802142857,0.0671780528
0,2,99,100,0.9748571429,0.1087221132
0,3,99,100,0.975,0.0869748193
0,4,99,100,0.9793571429,0.0754554772
0,,99,100,0.9785714286,0.0815443935
1,1,99,100,0.9797142857,0.0806029791
1,2,99,100,0.9787857143,0.0765440704
1,3,99,100,0.9752142857,0.094603256
1,4,99,100,0.9758571429,0.0880074748
1,,99,100,0.9780714286,0.0841043456
2,1,99,100,0.9757142857,0.0895468406
2,2,99,100,0.9710714286,0.1208574239
2,3,99,100,0.9797857143,0.0754586691
2,4,99,100,0.9786428571,0.0789419946
2,,99,100,0.9742142857,0.108237479
3,1,99,100,0.9783571429,0.0812083164
3,2,99,100,0.9777857143,0.08365461
3,3,99,100,0.9782142857,0.0802362349
3,4,99,100,0.9757142857,0.0976648826
3,,99,100,0.9714285714,0.1180811833
4,1,99,100,0.9762142857,0.0949828367
4,2,99,100,0.9745,0.1000041218
4,3,99,100,0.9715,0.1122903592
4,4,99,100,0.9751428571,0.1046855845
4,,99,100,0.9792142857,0.0769544561
0,1,100,25,0.892,0.7495523788
0,2,100,25,0.8917857143,1.0306184751
0,3,100,25,0.8923571429,0.9993869923
0,4,100,25,0.8915,0.7305853746
0,,100,25,0.8972857143,0.5957680435
1,1,100,25,0.8948571429,0.7226683032
1,2,100,25,0.8940714286,0.8101908804
1,3,100,25,0.8930714286,1.0373413104
1,4,100,25,0.8933571429,0.8067211717
1,,100,25,0.8932857143,0.8344849242
2,1,100,25,0.8930714286,0.6358336485
2,2,100,25,0.8922857143,0.8627257378
2,3,100,25,0.8918571429,0.8270803856
2,4,100,25,0.8925714286,0.8736651695
2,,100,25,0.8952142857,0.5803516355
3,1,100,25,0.8895,0.6627449521
3,2,100,25,0.89,0.9247598242
3,3,100,25,0.8913571429,0.7857534725
3,4,100,25,0.8892857143,0.8298808658
3,,100,25,0.8905,0.798259467
4,1,100,25,0.8943571429,0.6841762875
4,2,100,25,0.8922142857,0.7039295793
4,3,100,25,0.8924285714,0.9924842558
4,4,100,25,0.894,0.5666457831
4,,100,25,0.8902857143,0.8600565609
0,1,100,50,0.8921428571,0.8992621519
0,2,100,50,0.8934285714,0.8856934194
0,3,100,50,0.8924285714,1.0357817895
0,4,100,50,0.8928571429,1.0522069876
0,,100,50,0.8919285714,0.8062274788
1,1,100,50,0.8940714286,1.116385712
1,2,100,50,0.8932857143,1.2302103318
1,3,100,50,0.8929285714,0.7936516304
1,4,100,50,0.8932857143,1.1960568212
1,,100,50,0.8919285714,1.1336248621
2,1,100,50,0.8919285714,0.9728041459
2,2,100,50,0.8916428571,1.2037316627
2,3,100,50,0.8903571429,0.7672361928
2,4,100,50,0.8916428571,0.9186708076
2,,100,50,0.8917142857,1.0743802204
3,1,100,50,0.889,0.7908627385
3,2,100,50,0.8904285714,1.1445952613
3,3,100,50,0.8894285714,1.0503217892
3,4,100,50,0.8901428571,0.7945449259
3,,100,50,0.8897142857,0.9739492467
4,1,100,50,0.8927142857,0.7993345406
4,2,100,50,0.893,1.0784395888
4,3,100,50,0.8926428571,0.8492893801
4,4,100,50,0.8934285714,0.9504568207
4,,100,50,0.8936428571,0.8359611683
0,1,100,75,0.8922857143,0.8130767448
0,2,100,75,0.8932142857,1.0249308577
0,3,100,75,0.8926428571,0.8172552444
0,4,100,75,0.8926428571,1.1669906488
0,,100,75,0.8910714286,0.8615029841
1,1,100,75,0.8929285714,1.0950789034
1,2,100,75,0.8927857143,1.1567065613
1,3,100,75,0.8922857143,1.0035838665
1,4,100,75,0.8925714286,0.9788428431
1,,100,75,0.8929285714,1.1161384237
2,1,100,75,0.8921428571,1.1939180038
2,2,100,75,0.8928571429,1.0010909691
2,3,100,75,0.8927142857,1.1867321401
2,4,100,75,0.892,1.1866257569
2,,100,75,0.8913571429,1.1474959696
3,1,100,75,0.8892857143,1.1151312902
3,2,100,75,0.89,1.0533621123
3,3,100,75,0.8902857143,1.3483437994
3,4,100,75,0.8894285714,1.1510143403
3,,100,75,0.8901428571,1.1917441174
4,1,100,75,0.8927857143,1.2805764328
4,2,100,75,0.8917857143,1.1354679012
4,3,100,75,0.8932857143,0.9671879199
4,4,100,75,0.8922857143,0.9811625374
4,,100,75,0.8930714286,0.9248371158
0,1,100,100,0.9195,0.3117466468
0,2,100,100,0.8784285714,0.4729152522
0,3,100,100,0.9,0.3605127675
0,4,100,100,0.9018571429,0.3909090392
1,1,100,100,0.9262857143,0.3083298422
1,2,100,100,0.8920714286,0.488648219
1,3,100,100,0.8929285714,0.4773729341
1,4,100,100,0.9312142857,0.2751142577
1,,100,100,0.9124285714,0.3273856347
2,1,100,100,0.9277857143,0.2665730658
2,2,100,100,0.9312142857,0.253269688
2,3,100,100,0.9061428571,0.4026647421
2,4,100,100,0.9114285714,0.3700790727
2,,100,100,0.8855,0.4838401109
3,1,100,100,0.916,0.2929154695
3,2,100,100,0.9052857143,0.4007870945
3,3,100,100,0.9321428571,0.2679247023
3,4,100,100,0.9252142857,0.294670843
3,,100,100,0.8771428571,0.5327618058
4,1,100,100,0.9070714286,0.3539234671
4,2,100,100,0.9007142857,0.3958761521
4,3,100,100,0.9287857143,0.2820451707
4,4,100,100,0.9134285714,0.3444489274
4,,100,100,0.8912857143,0.414062711
,,100,100,0.9148571429,0.3291064085
