"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy","Loss"
3,2,5,75,0.9907142857,0.0361544372
3,3,5,75,0.9910714286,0.0338000878
3,4,5,75,0.9909285714,0.0332488535
3,,5,75,0.9917857143,0.0325831405
4,1,5,75,0.9907142857,0.0360153775
4,2,5,75,0.9903571429,0.037079428
4,3,5,75,0.9912142857,0.0332110084
4,4,5,75,0.9902142857,0.0369799848
4,,5,75,0.9903571429,0.0368342331
0,1,5,100,0.9889285714,0.044732569
0,2,5,100,0.9907857143,0.0344510821
0,3,5,100,0.9907142857,0.0306494641
0,4,5,100,0.9897857143,0.0360667188
0,,5,100,0.9912142857,0.0319617814
1,1,5,100,0.9907142857,0.0319488997
1,2,5,100,0.9911428571,0.0345805415
1,3,5,100,0.9909285714,0.0324457807
1,4,5,100,0.9901428571,0.035402021
1,,5,100,0.9905,0.0339134113
2,1,5,100,0.9912142857,0.03363657
2,2,5,100,0.9905714286,0.034443902
2,3,5,100,0.9912857143,0.0320701804
2,4,5,100,0.991,0.0360944844
2,,5,100,0.9902857143,0.0379355336
3,1,5,100,0.9898571429,0.0355568091
3,2,5,100,0.9912142857,0.0317624515
3,3,5,100,0.9895714286,0.0372178034
3,4,5,100,0.9913571429,0.0331923305
3,,5,100,0.9898571429,0.0358785932
4,1,5,100,0.9902142857,0.0352059439
4,2,5,100,0.9905714286,0.0338905134
4,3,5,100,0.9908571429,0.0404914953
4,4,5,100,0.9898571429,0.0378391328
4,,5,100,0.9886428571,0.0400731651
0,1,10,25,0.9909285714,0.0334253761
0,2,10,25,0.9906428571,0.0350462986
0,3,10,25,0.9907142857,0.0330001169
0,4,10,25,0.9910714286,0.0333616231
0,,10,25,0.9887857143,0.0371817001
1,1,10,25,0.9907857143,0.0339371071
1,2,10,25,0.9906428571,0.031487858
1,3,10,25,0.9916428571,0.0325554589
1,4,10,25,0.9905714286,0.0327818216
1,,10,25,0.9902142857,0.0357535871
2,1,10,25,0.9915,0.0329768657
2,2,10,25,0.9912857143,0.03271329
2,3,10,25,0.9910714286,0.031477122
2,4,10,25,0.99,0.035522403
2,,10,25,0.9919285714,0.0316075949
3,1,10,25,0.9911428571,0.0317628656
3,2,10,25,0.9900714286,0.0341369429
3,3,10,25,0.9906428571,0.0344800572
3,4,10,25,0.9910714286,0.0333828032
3,,10,25,0.9901428571,0.0379077793
4,1,10,25,0.9908571429,0.0394935313
4,2,10,25,0.9907857143,0.0359316064
4,3,10,25,0.9906428571,0.0341090197
4,4,10,25,0.99,0.037251699
4,,10,25,0.9906428571,0.0369323281
