Mutation Number,Run Num,Percentage,St_Dev,Accuracy,Loss
4,4,0.5,0.25,0.98728573,0.046441222
0,0,0.5,0.5,0.98964286,0.037359974
0,1,0.5,0.5,0.98914284,0.036823254
0,2,0.5,0.5,0.9884286,0.039900373
0,3,0.5,0.5,0.986,0.048882297
0,4,0.5,0.5,0.98721427,0.047712701
1,0,0.5,0.5,0.9882857,0.040290649
1,1,0.5,0.5,0.989,0.037645795
1,2,0.5,0.5,0.98742855,0.042405127
1,3,0.5,0.5,0.96992856,0.109485377
1,4,0.5,0.5,0.9877143,0.04412932
2,0,0.5,0.5,0.98492855,0.058515836
2,1,0.5,0.5,0.9887143,0.042549991
2,2,0.5,0.5,0.99,0.037833212
2,3,0.5,0.5,0.98642856,0.047340719
2,4,0.5,0.5,0.989,0.040418717
3,0,0.5,0.5,0.9887143,0.03933566
3,1,0.5,0.5,0.9875,0.044783973
3,2,0.5,0.5,0.98992854,0.036705283
3,3,0.5,0.5,0.9867143,0.049511507
3,4,0.5,0.5,0.98642856,0.046922565
4,0,0.5,0.5,0.9845,0.057248977
4,1,0.5,0.5,0.98707145,0.049798439
4,2,0.5,0.5,0.98742855,0.047135337
4,3,0.5,0.5,0.9885714,0.043397604
4,4,0.5,0.5,0.9832857,0.062045146
0,0,0.5,0.75,0.9837857,0.055707513
0,1,0.5,0.75,0.98707145,0.042453608
0,2,0.5,0.75,0.9678571,0.111962772
0,3,0.5,0.75,0.97992855,0.06732443
0,4,0.5,0.75,0.98085713,0.063414409
1,0,0.5,0.75,0.98457146,0.052331208
1,1,0.5,0.75,0.9775,0.079492296
1,2,0.5,0.75,0.98471427,0.049943244
1,3,0.5,0.75,0.98707145,0.042557787
1,4,0.5,0.75,0.9629286,0.131315713
2,0,0.5,0.75,0.9834286,0.059319333
2,1,0.5,0.75,0.9875714,0.050735759
2,2,0.5,0.75,0.98564285,0.049685576
2,3,0.5,0.75,0.986,0.045895007
2,4,0.5,0.75,0.9822143,0.061610081
3,0,0.5,0.75,0.982,0.05835693
3,1,0.5,0.75,0.9762143,0.082237128
3,2,0.5,0.75,0.9818571,0.057653668
3,3,0.5,0.75,0.987,0.048452873
3,4,0.5,0.75,0.9777143,0.067750075
4,0,0.5,0.75,0.9835,0.063071611
4,1,0.5,0.75,0.9778572,0.074677308
4,2,0.5,0.75,0.98385715,0.054832903
4,3,0.5,0.75,0.9836429,0.055742263
4,4,0.5,0.75,0.98385715,0.055514163
0,0,0.5,1,0.96914285,0.113965832
0,1,0.5,1,0.9570714,0.148717335
0,2,0.5,1,0.85014284,0.474509417
0,3,0.5,1,0.97835714,0.072538336
0,4,0.5,1,0.9646429,0.115018806
1,0,0.5,1,0.97514284,0.09314284
1,1,0.5,1,0.8855,0.381677554
1,2,0.5,1,0.90235716,0.277752795
1,3,0.5,1,0.9854286,0.05303806
1,4,0.5,1,0.97328573,0.082593473
2,0,0.5,1,0.9092857,0.334735185
2,1,0.5,1,0.9710714,0.138230181
2,2,0.5,1,0.982,0.067374716
2,3,0.5,1,0.9646429,0.147999539
2,4,0.5,1,0.9817857,0.060885564
3,0,0.5,1,0.98485714,0.053316141
3,1,0.5,1,0.9753571,0.091578512
3,2,0.5,1,0.95678574,0.150429622
3,3,0.5,1,0.9826428,0.059133921
3,4,0.5,1,0.9677143,0.106397321
4,0,0.5,1,0.9679286,0.103908388
4,1,0.5,1,0.96885717,0.109463061
4,2,0.5,1,0.9475,0.198327436
4,3,0.5,1,0.9547143,0.162101044
4,4,0.5,1,0.96985716,0.102807099
0,0,0.75,0.25,0.99,0.039027991
0,1,0.75,0.25,0.9902857,0.032818892
0,2,0.75,0.25,0.9905,0.033649063
0,3,0.75,0.25,0.99035716,0.033378091
0,4,0.75,0.25,0.9895,0.040847348
1,0,0.75,0.25,0.9902857,0.034891288
1,1,0.75,0.25,0.99064285,0.032179964
1,2,0.75,0.25,0.9855,0.047391478
1,3,0.75,0.25,0.9907857,0.033960304
1,4,0.75,0.25,0.98885715,0.03999397
2,0,0.75,0.25,0.9901429,0.03347493
2,1,0.75,0.25,0.99057144,0.033261625
2,2,0.75,0.25,0.9907857,0.033397479
2,3,0.75,0.25,0.99128574,0.033658933
2,4,0.75,0.25,0.99042857,0.034690276
3,0,0.75,0.25,0.99057144,0.035314178
3,1,0.75,0.25,0.9900714,0.042102113
3,2,0.75,0.25,0.9902857,0.035268246
3,3,0.75,0.25,0.9908571,0.037022961
3,4,0.75,0.25,0.9885714,0.040661071
4,0,0.75,0.25,0.98885715,0.042171862
4,1,0.75,0.25,0.9868571,0.045985958
4,2,0.75,0.25,0.9901429,0.039342735
4,3,0.75,0.25,0.99057144,0.036760119
4,4,0.75,0.25,0.9907857,0.037418441
0,0,0.75,0.5,0.98707145,0.043841396
0,1,0.75,0.5,0.9829286,0.058750888
0,2,0.75,0.5,0.9877857,0.039847115
0,3,0.75,0.5,0.98728573,0.043163361
0,4,0.75,0.5,0.98878574,0.036908037
1,0,0.75,0.5,0.9865,0.050629926
1,1,0.75,0.5,0.98707145,0.042717256
1,2,0.75,0.5,0.97642857,0.081233795
1,3,0.75,0.5,0.98785716,0.038156235
1,4,0.75,0.5,0.9860714,0.048286431
2,0,0.75,0.5,0.985,0.052939666
2,1,0.75,0.5,0.9835714,0.054038418
2,2,0.75,0.5,0.98714286,0.046613958
2,3,0.75,0.5,0.9882143,0.041515504
2,4,0.75,0.5,0.9892857,0.041074057
3,0,0.75,0.5,0.97821426,0.076653943
3,1,0.75,0.5,0.988,0.044111418
3,2,0.75,0.5,0.987,0.048206513
3,3,0.75,0.5,0.9886429,0.041075233
3,4,0.75,0.5,0.9775,0.07514132
4,0,0.75,0.5,0.98735714,0.045523717
4,1,0.75,0.5,0.98164284,0.070030192
4,2,0.75,0.5,0.98307145,0.063899835
4,3,0.75,0.5,0.9835714,0.061326991
4,4,0.75,0.5,0.98721427,0.048532366
0,0,0.75,0.75,0.9587857,0.129683358
0,1,0.75,0.75,0.9843571,0.057052204
0,2,0.75,0.75,0.9442857,0.233878999
0,3,0.75,0.75,0.9820714,0.06040304
0,4,0.75,0.75,0.98214287,0.062313247
1,0,0.75,0.75,0.9787143,0.07261619
1,1,0.75,0.75,0.96342856,0.121544251
1,2,0.75,0.75,0.9170714,0.228276105
1,3,0.75,0.75,0.8690714,0.436659372
1,4,0.75,0.75,0.9725,0.09243211
2,0,0.75,0.75,0.9752857,0.078895443
2,1,0.75,0.75,0.98064286,0.081750384
2,2,0.75,0.75,0.9746429,0.078948423
2,3,0.75,0.75,0.96242857,0.125760674
2,4,0.75,0.75,0.98164284,0.068869717
3,0,0.75,0.75,0.97592854,0.09049073
3,1,0.75,0.75,0.97728574,0.076721849
3,2,0.75,0.75,0.98242855,0.064844889
3,3,0.75,0.75,0.9762857,0.078359129
3,4,0.75,0.75,0.9820714,0.074958781
4,0,0.75,0.75,0.97642857,0.074596732
4,1,0.75,0.75,0.981,0.064423226
4,2,0.75,0.75,0.9632143,0.135052969
4,3,0.75,0.75,0.9761429,0.090057518
4,4,0.75,0.75,0.9715,0.111063968
0,0,0.75,1,0.93378574,0.203144993
0,1,0.75,1,0.95664287,0.149533722
0,2,0.75,1,0.97057146,0.092012014
0,3,0.75,1,0.94028574,0.186893305
0,4,0.75,1,0.97242856,0.09769144
1,0,0.75,1,0.8265,0.550258496
1,1,0.75,1,0.9612857,0.130150228
1,2,0.75,1,0.9237857,0.27943394
1,3,0.75,1,0.9614286,0.131079509
1,4,0.75,1,0.64914286,1.317552955
2,0,0.75,1,0.95614284,0.152739759
2,1,0.75,1,0.9670714,0.125890391
2,2,0.75,1,0.9596428,0.147116256
2,3,0.75,1,0.9259286,0.250800945
2,4,0.75,1,0.9512143,0.185185317
3,0,0.75,1,0.9660714,0.113862574
3,1,0.75,1,0.90164286,0.332215456
3,2,0.75,1,0.9022857,0.355727917
3,3,0.75,1,0.9585,0.145102446
3,4,0.75,1,0.92471427,0.221194132
4,0,0.75,1,0.96157146,0.117920321
4,1,0.75,1,0.9646429,0.121668804
4,2,0.75,1,0.95857143,0.145565836
4,3,0.75,1,0.89285713,0.365301905
4,4,0.75,1,0.8875,0.38369297
0,0,1,0.25,0.9893571,0.037152083
0,1,1,0.25,0.98985714,0.033417158
0,2,1,0.25,0.9860714,0.045536776
0,3,1,0.25,0.98978573,0.032366986
0,4,1,0.25,0.98892856,0.039041251
1,0,1,0.25,0.99,0.032551286
1,1,1,0.25,0.9875714,0.041578275
1,2,1,0.25,0.9902857,0.035753097
1,3,1,0.25,0.98985714,0.0320367
1,4,1,0.25,0.98964286,0.03954848
2,0,1,0.25,0.99042857,0.034944008
2,1,1,0.25,0.99135715,0.037824667
2,2,1,0.25,0.99,0.038001612
2,3,1,0.25,0.9905,0.03752166
2,4,1,0.25,0.9907143,0.038921757
3,0,1,0.25,0.98978573,0.039665492
3,1,1,0.25,0.98971426,0.036896366
3,2,1,0.25,0.99035716,0.034771382
3,3,1,0.25,0.9902143,0.037347933
3,4,1,0.25,0.98707145,0.04908213
4,0,1,0.25,0.9875,0.046876241
4,1,1,0.25,0.9895,0.040579116
4,2,1,0.25,0.98985714,0.039767225
4,3,1,0.25,0.9890714,0.038967413
4,4,1,0.25,0.98978573,0.038997001
0,0,1,0.5,0.9844286,0.053520736
0,1,1,0.5,0.98664284,0.045137818
0,2,1,0.5,0.9729286,0.100509259
0,3,1,0.5,0.9858571,0.045591687
0,4,1,0.5,0.9852143,0.050575962
1,0,1,0.5,0.9835714,0.054401479
1,1,1,0.5,0.9875714,0.044096549
1,2,1,0.5,0.9858571,0.049138392
1,3,1,0.5,0.97835714,0.076012707
1,4,1,0.5,0.984,0.05427784
2,0,1,0.5,0.977,0.075917215
2,1,1,0.5,0.9868571,0.044235354
2,2,1,0.5,0.9877857,0.043080162
2,3,1,0.5,0.9746429,0.081542966
2,4,1,0.5,0.9893571,0.039604628
3,0,1,0.5,0.98664284,0.050853991
3,1,1,0.5,0.98664284,0.049410105
3,2,1,0.5,0.9811429,0.060159861
3,3,1,0.5,0.9867857,0.047911068
3,4,1,0.5,0.9842857,0.051916224
4,0,1,0.5,0.9844286,0.058256055
4,1,1,0.5,0.9770714,0.081072207
4,2,1,0.5,0.9778572,0.081136138
4,3,1,0.5,0.9855,0.052182703
4,4,1,0.5,0.9737143,0.094423663
0,0,1,0.75,0.96364284,0.116370633
0,1,1,0.75,0.9746429,0.080725784
0,2,1,0.75,0.9680714,0.102312206
0,3,1,0.75,0.9604286,0.134142301
0,4,1,0.75,0.97342855,0.085450853
1,0,1,0.75,0.9715,0.10844239
1,1,1,0.75,0.9735714,0.092844668
1,2,1,0.75,0.9812857,0.067331818
1,3,1,0.75,0.98314285,0.057362804
