Mutation Number,Run Number,Accuracy,Loss
21,14,0.991,0.028584473753680607
21,15,0.9904285714285714,0.03366602016343937
21,16,0.9893571428571428,0.041312279192441306
21,17,0.9906428571428572,0.0331885054063475
21,18,0.9912857142857143,0.03319222578785775
21,19,0.9912142857142857,0.03450616345166924
22,0,0.9908571428571429,0.031110779745582216
22,1,0.9904285714285714,0.029879332701652727
22,2,0.9914285714285714,0.031202045080588766
22,3,0.99,0.039910833664622516
22,4,0.99,0.037590095404678975
22,5,0.9911428571428571,0.031996220976055416
22,6,0.9899285714285714,0.034186368628080735
22,7,0.9903571428571428,0.03716972965336858
22,8,0.9892142857142857,0.036759285384040725
22,9,0.9885,0.03796530455723405
22,10,0.9902142857142857,0.03749440713641525
22,11,0.9897857142857143,0.0373235253177658
22,12,0.9903571428571428,0.03395028814898979
22,13,0.9892142857142857,0.04400200409134621
22,14,0.9916428571428572,0.028175836301275663
22,15,0.9908571428571429,0.032355451388679804
22,16,0.9892142857142857,0.04277575695092673
22,17,0.992,0.027723414711887016
22,18,0.9894285714285714,0.03959225241396494
22,19,0.9914285714285714,0.032086486863284205
23,0,0.992,0.031016164123022463
23,1,0.9917142857142857,0.02986394531247788
23,2,0.9905,0.034594266860078535
23,3,0.9903571428571428,0.03394033387843021
23,4,0.9913571428571428,0.03658644812301541
23,5,0.9897142857142858,0.03824725908949092
23,6,0.9898571428571429,0.035407261232699966
23,7,0.9897857142857143,0.03748690933522136
23,8,0.9892857142857143,0.03984844536171633
23,9,0.9892142857142857,0.042099063374772545
23,10,0.9907142857142858,0.03623232851528883
23,11,0.991,0.032478466033020854
23,12,0.9906428571428572,0.03480505268007151
23,13,0.9895714285714285,0.039585960136000985
23,14,0.9905,0.030617226493334912
23,15,0.9903571428571428,0.03214278874584644
23,16,0.9889285714285714,0.042364310196525756
23,17,0.9920714285714286,0.028872823279755332
23,18,0.9908571428571429,0.031160411697333724
23,19,0.9893571428571428,0.03821911302742956
26,0,0.9906428571428572,0.035580925957434374
26,1,0.9907857142857143,0.034733436922768306
26,2,0.9911428571428571,0.03222277818861351
26,3,0.9912857142857143,0.03510941257552466
26,4,0.9909285714285714,0.03702081901140212
26,5,0.9902142857142857,0.03269437184183646
26,6,0.9900714285714286,0.03554676952835247
26,7,0.9905714285714285,0.037175446583504836
26,8,0.9905714285714285,0.03449468473592008
26,9,0.9891428571428571,0.04063099883730215
26,10,0.9907142857142858,0.03589828478356659
26,11,0.9896428571428572,0.03848518660056912
26,12,0.9904285714285714,0.03722923639729769
26,13,0.9901428571428571,0.03684268378800126
26,14,0.9911428571428571,0.029323840772849507
26,15,0.991,0.029437710788413823
26,16,0.9893571428571428,0.03978274891781517
26,17,0.992,0.029490548013690776
26,18,0.9910714285714286,0.034101216488493916
26,19,0.9915714285714285,0.03179239884875668
27,0,0.9917142857142857,0.030381554920696153
27,1,0.9915,0.03265819378440652
27,2,0.9920714285714286,0.029728774347476637
27,3,0.9891428571428571,0.038604675142267036
27,4,0.9900714285714286,0.037264298046779006
27,5,0.9906428571428572,0.029479020640268052
27,6,0.9898571428571429,0.03659322047316943
27,7,0.9900714285714286,0.0371582846905902
27,8,0.9905,0.03526985529109619
27,9,0.9892857142857143,0.04341112847994009
27,10,0.9896428571428572,0.03477759938152719
27,11,0.9916428571428572,0.035769772095701875
27,12,0.9907857142857143,0.03711517882113159
27,13,0.9899285714285714,0.035581626167654444
27,14,0.9922857142857143,0.02479416050466742
27,15,0.9899285714285714,0.03342816911339261
27,16,0.9898571428571429,0.03888439218593287
27,17,0.9917142857142857,0.028386594902954778
27,18,0.9908571428571429,0.03551170420177966
27,19,0.9915714285714285,0.030814688546031123
28,0,0.9910714285714286,0.030146985762696463
28,1,0.9912142857142857,0.031216149398601765
28,2,0.9873571428571428,0.05192462472936443
28,3,0.9910714285714286,0.03453625621345418
28,4,0.9907142857142858,0.037602736095858354
28,5,0.9905,0.03726690495891515
28,6,0.9907857142857143,0.03587800385499733
28,7,0.9902142857142857,0.03811577058780053
28,8,0.9897142857142858,0.035870341853922065
28,9,0.9902857142857143,0.03736673459370753
28,10,0.9899285714285714,0.03688246409102067
28,11,0.9902142857142857,0.037666416689732744
28,12,0.9910714285714286,0.03331510886268786
28,13,0.989,0.04086718825316556
28,14,0.9921428571428571,0.0265163694491348
28,15,0.9915,0.030337782699910477
28,16,0.9892142857142857,0.03986898926019577
28,17,0.9912142857142857,0.02961462043922178
28,18,0.9912857142857143,0.031491312829281796
28,19,0.9910714285714286,0.03248128599957272
31,0,0.99,0.0330311784239041
31,1,0.9915714285714285,0.03175940151308168
31,2,0.9915714285714285,0.030971673041346157
31,3,0.9911428571428571,0.035231770465720076
31,4,0.9909285714285714,0.033394022388441955
