Mutation Number,Run Number,Accuracy,Loss
11,2,0.14658333333333334,2.501583470662435
11,3,0.12575,3.962529623667399
11,4,0.11225,3.556587693532308
11,5,0.13291666666666666,3.4908791262308756
11,6,0.08566666666666667,2.7657167415618895
11,7,0.10066666666666667,3.285706314722697
11,8,0.10375,3.782367670059204
11,9,0.11433333333333333,2.784106258392334
11,10,0.13208333333333333,3.1659769172668457
11,11,0.102,3.2261074047088623
11,12,0.10841666666666666,3.157377145131429
11,13,0.12241666666666666,3.0975858624776205
11,14,0.12,2.880490950902303
11,15,0.11458333333333333,5.131612240473429
11,16,0.10391666666666667,3.8729074789683025
11,17,0.11325,3.1116083596547446
11,18,0.1125,3.715103151957194
11,19,0.09225,3.4298550554911293
12,0,0.10066666666666667,4.547281371434529
12,1,0.09858333333333333,5.919046560923259
12,2,0.09508333333333334,4.4580297253926595
12,3,0.10091666666666667,5.149242537180583
12,4,0.10333333333333333,4.751467269261678
12,5,0.0965,4.582970598856608
12,6,0.10041666666666667,4.113529017766317
12,7,0.10366666666666667,5.608874123891194
12,8,0.10333333333333333,4.875217749277751
12,9,0.10033333333333333,5.9969485473632815
12,10,0.10008333333333333,8.913361417134603
12,11,0.09841666666666667,5.675946339289347
12,12,0.10033333333333333,5.69579221089681
12,13,0.09783333333333333,4.00298583094279
12,14,0.0995,3.9161309452056883
12,15,0.10233333333333333,4.705972232182821
12,16,0.09641666666666666,4.011635105768839
12,17,0.09841666666666667,5.387101518630981
12,18,0.10083333333333333,3.857223217646281
12,19,0.09658333333333333,4.259530021031698
13,0,0.11341666666666667,6.730525339762369
13,1,0.11525,5.245152264912923
13,2,0.12175,4.477776348114014
13,3,0.10525,8.01426406733195
13,4,0.11358333333333333,4.065051695505778
13,5,0.11283333333333333,5.170920693079631
13,6,0.1035,3.8571058750152587
13,7,0.11566666666666667,4.838365712483724
13,8,0.10075,4.958072611490885
13,9,0.10441666666666667,7.577813073476156
13,10,0.10375,4.998870232264201
13,11,0.10325,4.70042552057902
13,12,0.11241666666666666,6.846425984700521
13,13,0.11366666666666667,4.207268106460571
13,14,0.09291666666666666,3.980964897155762
13,15,0.107,3.6765640195210776
13,16,0.11925,3.9502808430989584
13,17,0.11416666666666667,5.308958732604981
13,18,0.1175,4.394922794342041
13,19,0.10883333333333334,4.718799875895182
14,0,0.089,14.846371198018392
14,1,0.108,14.538037953694662
14,2,0.09916666666666667,14.68142214457194
14,3,0.119,14.360996383666992
14,4,0.13025,14.177567680358887
14,5,0.125,14.265281781514485
14,6,0.12266666666666666,14.303006767272949
14,7,0.16216666666666665,13.658710037231446
14,8,0.09291666666666666,14.782209897359213
14,9,0.11383333333333333,14.448118453979491
14,10,0.10558333333333333,14.57461356862386
14,11,0.10883333333333334,14.523533594767253
14,12,0.13075,14.166062558492024
14,13,0.10125,14.646124491373698
14,14,0.11583333333333333,14.409119750976563
14,15,0.10191666666666667,14.63584157816569
14,16,0.1005,14.659584449768067
14,17,0.10883333333333334,14.526245610555012
14,18,0.11916666666666667,14.358040044148764
14,19,0.10191666666666667,14.63417859395345
15,0,0.6348333333333334,1.6726537918249766
15,1,0.70675,1.18624738740921
15,2,0.7430833333333333,0.9895584378242492
15,3,0.7293333333333333,1.0241384557088216
15,4,0.6698333333333333,1.32167870871226
15,5,0.5863333333333334,1.7748286045392354
15,6,0.668,1.3143902417818705
15,7,0.5875833333333333,2.079383117675781
15,8,0.7190833333333333,1.1901197925408682
15,9,0.7189166666666666,1.0706463814576468
15,10,0.7098333333333333,1.1918713762760162
15,11,0.5816666666666667,1.9847940824826558
15,12,0.6308333333333334,1.7622318382263185
15,13,0.6595833333333333,1.4303669109344483
15,14,0.6344166666666666,1.5349596277872721
15,15,0.66725,1.4222797019481659
15,16,0.6299166666666667,1.6084499133427939
15,17,0.5998333333333333,1.9258287626902262
15,18,0.6494166666666666,1.3546955898602804
15,19,0.6694166666666667,1.3092695803642274
16,0,0.7333333333333333,1.017731657187144
16,1,0.7285,1.1222727789878846
16,2,0.71375,1.0985161334673563
16,3,0.7085833333333333,1.202900198618571
16,4,0.6754166666666667,1.3272398228645326
16,5,0.7083333333333334,1.2300886912345885
16,6,0.6808333333333333,1.3506919488906861
16,7,0.7384166666666667,1.0220052703221638
16,8,0.6615,1.421515332221985
16,9,0.70275,1.1542566396395366
16,10,0.67525,1.290525417168935
16,11,0.6744166666666667,1.3006683890024822
16,12,0.6989166666666666,1.2845766123930613
16,13,0.7405,1.026844072341919
16,14,0.642,1.595353998819987
16,15,0.69525,1.2101036482652028
16,16,0.6205833333333334,1.824556792418162
16,17,0.7123333333333334,1.1355018332799276
16,18,0.7253333333333334,1.061914211511612
16,19,0.6116666666666667,1.7085744493802388
17,0,0.7596666666666667,0.9105227786699931
17,1,0.65425,1.4790371306737264
17,2,0.669,1.4065230882167816
17,3,0.6319166666666667,1.4817702835400899
17,4,0.6621666666666667,1.3585768682161967
17,5,0.6628333333333334,1.3494359691937765
17,6,0.6970833333333334,1.2765342526435852
17,7,0.6240833333333333,1.541714945634206
17,8,0.6761666666666667,1.3654555837313334
17,9,0.7093333333333334,1.1532591962019603
17,10,0.6831666666666667,1.3196698400179545
17,11,0.67325,1.2520899403095245
17,12,0.704,1.1337240273157756
17,13,0.6976666666666667,1.2377925663789113
17,14,0.6906666666666667,1.2298927551905314
17,15,0.70025,1.180965319633484
17,16,0.67625,1.3490854295094807
17,17,0.6964166666666667,1.2868904759089153
17,18,0.6868333333333333,1.193556755542755
17,19,0.651,1.4777143026987711
18,0,0.6953333333333334,1.1951050153573355
18,1,0.6618333333333334,1.4605168697039286
18,2,0.6815,1.265896244208018
18,3,0.7265,1.0349386757214865
18,4,0.6891666666666667,1.216377025047938
18,5,0.7128333333333333,1.168056177854538
18,6,0.7254166666666667,1.0795245350996654
18,7,0.6925,1.1913926452000936
18,8,0.6864166666666667,1.2245651597976686
18,9,0.5949166666666666,1.6305434999465942
18,10,0.6469166666666667,1.4156324378649394
18,11,0.7228333333333333,1.112070289850235
18,12,0.6935833333333333,1.2087694613138835
18,13,0.678,1.3450982836087544
18,14,0.7069166666666666,1.2221365621089935
18,15,0.6810833333333334,1.2884237587451934
18,16,0.6743333333333333,1.2341716685295105
18,17,0.684,1.2199061355590821
18,18,0.6560833333333334,1.4132126296361287
18,19,0.7005833333333333,1.19061780834198
19,0,0.7483333333333333,0.9368030648231507
19,1,0.6318333333333334,1.6332124315102896
19,2,0.7021666666666667,1.1974448257287342
19,3,0.6904166666666667,1.2308828558921814
19,4,0.704,1.1837452256679535
19,5,0.6675833333333333,1.30117973279953
19,6,0.6776666666666666,1.3133631399472554
19,7,0.7286666666666667,1.0732388237317403
19,8,0.6676666666666666,1.431579819838206
19,9,0.6519166666666667,1.4855562488238017
19,10,0.71725,1.1257011115550994
19,11,0.70075,1.2083698814709982
19,12,0.6273333333333333,1.6874142972628277
19,13,0.72275,1.1319143369197846
19,14,0.6075833333333334,1.6559128500620524
19,15,0.63575,1.5559537223180135
19,16,0.7514166666666666,0.9053182984193167
19,17,0.6975833333333333,1.2430095972220103
19,18,0.6244166666666666,1.4932508068084718
19,19,0.6910833333333334,1.142130838394165
20,0,0.7015,1.1652124543190003
20,1,0.5863333333333334,1.782452858130137
20,2,0.6878333333333333,1.2453204574584962
20,3,0.6928333333333333,1.2023806489308675
20,4,0.7288333333333333,1.0581874856154123
20,5,0.709,1.1320704810619355
20,6,0.6865833333333333,1.2610706272919974
20,7,0.6933333333333334,1.1593225456078848
20,8,0.7379166666666667,1.0372637485663097
20,9,0.7035833333333333,1.13052406001091
20,10,0.74025,1.0167921539942424
20,11,0.7013333333333334,1.3395357554753622
20,12,0.6906666666666667,1.195113798459371
20,13,0.7006666666666667,1.2101436389287312
20,14,0.6955,1.2992856523195901
20,15,0.6841666666666667,1.3149423931439717
20,16,0.6724166666666667,1.3319030672709147
20,17,0.7065,1.1118969242572785
20,18,0.683,1.3344719879627227
20,19,0.7098333333333333,1.2024257114728292
21,0,0.7038333333333333,1.1824985106786092
21,1,0.6645,1.4283457148869831
21,2,0.6905833333333333,1.2085496095816295
