"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,3,25,0.9936066713,0.0759561284,0.9888317414,0.0354501102
0,4,25,0.9951355108,0.0885650257,0.9889786921,0.0338645732
1,0,25,0.9940310938,0.0641417617,0.987198352,0.0414154192
1,1,25,0.9934758468,0.0698892355,0.9891112419,0.0342843517
1,2,25,0.9930594114,0.0771139627,0.9877869335,0.037462252
1,3,25,0.9941699056,0.0898105679,0.9888169511,0.03414903
1,4,25,0.9931982232,0.0795942304,0.9874926428,0.037818333
2,0,25,0.9941135249,0.0618378061,0.9908230153,0.0303806993
2,1,25,0.9948142957,0.0756246163,0.9928623452,0.0265566235
2,2,25,0.9931324457,0.0886992538,0.9911143481,0.0299087188
2,3,25,0.9945339874,0.0752959583,0.9912600146,0.0281587268
2,4,25,0.9950946041,0.0637781796,0.9916970138,0.0293625436
3,0,25,0.9949895616,0.0658653363,0.9892883346,0.034188752
3,1,25,0.9949895616,0.0587060348,0.990755686,0.0305016854
3,2,25,0.9941544885,0.0669352109,0.9900220103,0.0321491391
3,3,25,0.993736952,0.0650058937,0.9903154806,0.0309617367
3,4,25,0.9929018789,0.0961332947,0.9895818048,0.031502809
4,0,25,0.9924189246,0.0827945912,0.9901119674,0.0328009906
4,1,25,0.9946651692,0.0807898355,0.9905482042,0.0300469701
4,2,25,0.9945247789,0.0822724829,0.9902573797,0.0316917237
4,3,25,0.9934016566,0.0637570307,0.9899665552,0.0343014965
4,4,25,0.9928400955,0.0785328233,0.9904027919,0.0319348857
0,0,50,0.918971508,0.1533246441,0.9891256429,0.0325981653
0,1,50,0.8635163308,0.1570748806,0.9886847906,0.0340781657
0,2,50,0.9808200139,0.1395013773,0.9883908891,0.0362735728
0,3,50,0.9799861015,0.1347125413,0.9905951506,0.0332417085
0,4,50,0.8686587909,0.162682898,0.989713446,0.0346706729
1,0,50,0.9671016102,0.1468199012,0.9880812243,0.0346255704
1,1,50,0.9485008329,0.1504767454,0.9877869335,0.0384478001
1,2,50,0.9569683509,0.1491254466,0.9885226604,0.0353608993
1,3,50,0.8323153803,0.16230031,0.9891112419,0.0351880798
1,4,50,0.8238478623,0.1726423941,0.9898469688,0.0334834011
2,0,50,0.9758934828,0.1468457586,0.9911143481,0.028888579
2,1,50,0.9629992992,0.1503229117,0.9912600146,0.0276109016
2,2,50,0.9813594954,0.1347297876,0.9909686817,0.029589961
2,3,50,0.8001401541,0.198149848,0.9918426803,0.0271431037
2,4,50,0.8089698667,0.1737554412,0.9906773489,0.0300030417
3,0,50,0.8164231037,0.1903461041,0.988701394,0.034237438
3,1,50,0.8171189979,0.1743355111,0.9898752751,0.0322950469
3,2,50,0.8272790536,0.1668016909,0.9900220103,0.031608536
3,3,50,0.817954071,0.1769800541,0.98972854,0.0317816782
3,4,50,0.9734168406,0.1482928092,0.9894350697,0.0310091648
4,0,50,0.8301277552,0.1671908279,0.9901119674,0.0350129419
4,1,50,0.9755720905,0.1449494559,0.9901119674,0.0335479303
4,2,50,0.8201600449,0.1677081828,0.9905482042,0.0324172182
4,3,50,0.9619542328,0.1402458469,0.9889486695,0.0345927065
4,4,50,0.8208619963,0.1781205207,0.9906936164,0.0312433929
0,0,75,0.801389854,0.2718564592,0.9910360029,0.0321485746
