"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
2,4,10,25,0.9943938332,0.0191004686,0.9912600146,0.0299990381
3,0,10,25,0.9940153097,0.0188678018,0.9889948643,0.0365432961
3,1,10,25,0.9949895616,0.0196412193,0.9900220103,0.0304182438
3,2,10,25,0.993736952,0.0201268937,0.9900220103,0.0305577668
3,3,10,25,0.9935977731,0.0204106292,0.988701394,0.0341946775
3,4,10,25,0.9922059847,0.0241231821,0.9903154806,0.0316798426
4,0,10,25,0.9935420469,0.022431261,0.9902573797,0.0333387352
4,1,10,25,0.9935420469,0.021706887,0.9902573797,0.0309140975
4,2,10,25,0.9903130703,0.0337454473,0.9898211429,0.0348558008
4,3,10,25,0.9908746315,0.0299223412,0.9890940817,0.0357967187
4,4,10,25,0.9953671206,0.0190155674,0.9899665552,0.0333199475
0,0,10,50,0.9954134816,0.0172600342,0.9898603968,0.0335384803
0,1,10,50,0.9954134816,0.0176546428,0.9894195445,0.0336050595
0,2,10,50,0.9951355108,0.0194820104,0.9886847906,0.035390757
0,3,10,50,0.995552467,0.0173982247,0.9892725937,0.0332920738
0,4,10,50,0.9959694232,0.0176711698,0.9892725937,0.0355132091
1,0,10,50,0.9937534703,0.0232082957,0.9885226604,0.0368646079
1,1,10,50,0.9941699056,0.0215701149,0.9892583873,0.037774243
1,2,10,50,0.9941699056,0.0214003756,0.9895526781,0.0335758779
1,3,10,50,0.9948639645,0.0227925975,0.9889640966,0.0347707468
1,4,10,50,0.9934758468,0.0234385376,0.9894055327,0.0332202293
2,0,10,50,0.994253679,0.0191411887,0.992425346,0.0278877505
2,1,10,50,0.9939733707,0.0189955024,0.9911143481,0.0291830348
2,2,10,50,0.9946741416,0.0186059048,0.9906773489,0.0326663735
2,3,10,50,0.9948142957,0.0191734971,0.9909686817,0.0293883742
2,4,10,50,0.9952347582,0.0168332389,0.992425346,0.0280814067
3,0,10,50,0.9952679193,0.0187757702,0.9895818048,0.0329261932
3,1,10,50,0.9952679193,0.0186428108,0.9884079237,0.0350008444
3,2,10,50,0.9935977731,0.0204490234,0.9901687454,0.0300832119
3,3,10,50,0.9940153097,0.0198384737,0.988701394,0.0338250319
3,4,10,50,0.9941544885,0.0198274392,0.9903154806,0.031739123
4,0,10,50,0.9948055595,0.0204549454,0.9904027919,0.0310608078
4,1,10,50,0.9943843886,0.019871207,0.9914206776,0.0310406828
4,2,10,50,0.994103608,0.0199384604,0.9914206776,0.0320972832
4,3,10,50,0.9942439983,0.0222824814,0.9902573797,0.0334348858
4,4,10,50,0.9926997052,0.022518561,0.9890940817,0.0332774708
0,0,10,75,0.9949965254,0.0185247899,0.9892725937,0.0372155411
0,1,10,75,0.9947185546,0.0180801252,0.9889786921,0.035828198
0,2,10,75,0.9949965254,0.0181467173,0.9889786921,0.0336194974
0,3,10,75,0.9941626129,0.020043395,0.9886847906,0.0382746479
0,4,10,75,0.9954134816,0.0181310625,0.9882439383,0.0343733132
1,0,10,75,0.9940310938,0.0234232651,0.9870512066,0.0388510704
1,1,10,75,0.9945863409,0.0246856006,0.9891112419,0.0374717915
1,2,10,75,0.9936146585,0.0247651576,0.9888169512,0.036908442
1,3,10,75,0.993337035,0.025522156,0.9874926428,0.0389326655
1,4,10,75,0.9944475292,0.0220217064,0.9885226604,0.0350788207
2,0,10,75,0.9929922915,0.0231794005,0.9911143481,0.0294668491
2,1,10,75,0.9946741416,0.0197716421,0.991405681,0.0309793604
2,2,10,75,0.9939733707,0.0182082224,0.9902403496,0.0298400326
2,3,10,75,0.994253679,0.0204641716,0.9925710124,0.0279768421
2,4,10,75,0.9939733707,0.0215065936,0.9922796795,0.0332879558
3,0,10,75,0.9948503827,0.0177200599,0.9891415994,0.0331977668
3,1,10,75,0.9944328462,0.0228409337,0.9903154806,0.0311378708
3,2,10,75,0.9944328462,0.0198908321,0.9898752751,0.0320419975
3,3,10,75,0.991927627,0.0274150092,0.9881144534,0.0341117523
3,4,10,75,0.9942936674,0.0192776307,0.9889948643,0.0316486015
4,0,10,75,0.994103608,0.0203844068,0.9898211429,0.0341838657
4,1,10,75,0.9942439983,0.0225682868,0.9908390286,0.0321958059
4,2,10,75,0.9939632177,0.022493992,0.9901119674,0.033147417
4,3,10,75,0.9946651692,0.0214667892,0.9898211429,0.034455723
4,4,10,75,0.9952267303,0.0202356117,0.9893849062,0.032293085
0,0,10,100,0.99485754,0.0203945245,0.9888317414,0.0360673214
0,1,10,100,0.9951355108,0.0173075893,0.9883908891,0.0369700633
0,2,10,100,0.9949965254,0.018900255,0.9894195445,0.0340127364
0,3,10,100,0.9954134816,0.017325055,0.9904481999,0.0322219544
0,4,10,100,0.9937456567,0.0207513682,0.9889786921,0.035386912
1,0,10,100,0.9948639645,0.0208434263,0.9899941142,0.0325734594
1,1,10,100,0.9936146585,0.0249275946,0.9889640965,0.0362770988
1,2,10,100,0.9923653526,0.0271127261,0.988375515,0.0368948463
1,3,10,100,0.9940310938,0.0216454989,0.9895526781,0.0353283861
1,4,10,100,0.9937534703,0.0227606617,0.989552678,0.0337684783
2,0,10,100,0.9943938332,0.0192582286,0.991405681,0.0288620214
2,1,10,100,0.9939733707,0.0191905815,0.9919883467,0.0290465044
2,2,10,100,0.9941135249,0.0186515567,0.9922796795,0.0305230667
2,3,10,100,0.9943938332,0.0182104658,0.9922796795,0.0276817806
2,4,10,100,0.9945339874,0.0160454961,0.9922796795,0.0285460896
3,0,10,100,0.9930410578,0.0243630263,0.9898752751,0.0297699488
3,1,10,100,0.9952679193,0.0183542409,0.9867938371,0.0390712527
3,2,10,100,0.9947112039,0.0161612228,0.9894350697,0.0309975082
3,3,10,100,0.995546277,0.0183819295,0.9889948643,0.0325783889
