"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
2,3,25,0.9935529082,0.0399921357,0.9909686817,0.0324933149
2,4,25,0.9946741416,0.0319142155,0.9919883467,0.0295670287
3,0,25,0.9929018789,0.0380464122,0.9901687454,0.0332454658
3,1,25,0.9935977731,0.0268145618,0.9903154806,0.0310065789
3,2,25,0.9938761308,0.0433532653,0.9903154806,0.0330510325
3,3,25,0.9947112039,0.0367972189,0.9898752751,0.0319698133
3,4,25,0.9934585943,0.0408504509,0.98972854,0.03069163
4,0,25,0.9928400955,0.0506131155,0.9911298531,0.0315222306
4,1,25,0.9934016566,0.0320134618,0.9908390286,0.032714583
4,2,25,0.993120876,0.0722007402,0.9905482042,0.0311352929
4,3,25,0.9938228275,0.0478883948,0.9902573797,0.032733421
4,4,25,0.9938228275,0.0355629958,0.9905482042,0.0335417297
0,0,50,0.9943015983,0.1087597639,0.9886847906,0.0364596872
0,1,50,0.9920778318,0.1176227106,0.9892725937,0.0369142729
0,2,50,0.9940236275,0.0946446686,0.9886847906,0.0351096657
0,3,50,0.9930507297,0.0783769956,0.9900073475,0.0341263339
0,4,50,0.9934676859,0.0917096544,0.987803086,0.0399524488
1,0,50,0.9929205997,0.0953982947,0.9898469688,0.0332454526
1,1,50,0.9919489173,0.110302492,0.988375515,0.0346519637
1,2,50,0.9936146585,0.0924243665,0.9892583873,0.0336336384
1,3,50,0.9925041644,0.0800220964,0.9895526781,0.0337987319
1,4,50,0.9916712937,0.0963126978,0.9889640966,0.0344106203
2,0,50,0.9932725999,0.1177833002,0.9911143481,0.0325577866
2,1,50,0.9936930624,0.0887583698,0.9925710124,0.0264477031
2,2,50,0.9938332165,0.0807185275,0.9918426803,0.0323148718
2,3,50,0.992571829,0.1064046788,0.9902403496,0.0333742562
2,4,50,0.9932725999,0.0685825207,0.9908230153,0.0314696836
3,0,50,0.9940153097,0.0793348542,0.9909024211,0.0330719116
3,1,50,0.993736952,0.1072982366,0.9878209831,0.0357933192
3,2,50,0.9947112039,0.0801472392,0.98972854,0.034177301
3,3,50,0.9931802366,0.1043258159,0.98972854,0.0341113605
3,4,50,0.9933194154,0.0893008858,0.98972854,0.0328479243
4,0,50,0.9914361926,0.0999695294,0.9890940817,0.033984249
4,1,50,0.9928400955,0.0981830282,0.9902573797,0.0341951335
4,2,50,0.9915765829,0.0866101718,0.9898211429,0.0334422825
4,3,50,0.9925593149,0.0749713312,0.9905482042,0.0345579893
4,4,50,0.9912958023,0.1097772411,0.9908390286,0.0336448144
0,0,75,0.9892981237,0.2162921831,0.9882439383,0.0380302242
0,1,75,0.9902710215,0.1758459067,0.9876561352,0.0371856791
0,2,75,0.9895760945,0.2084057784,0.9883908891,0.0379561292
0,3,75,0.9913829048,0.1932466455,0.9879500367,0.0416285345
0,4,75,0.9879082696,0.1692037452,0.9879500367,0.0384660885
1,0,75,0.9820932815,0.2168716047,0.9882283697,0.037457162
1,1,75,0.9916712937,0.1983121348,0.9891112419,0.0350315225
1,2,75,0.9906996113,0.2063903678,0.9895526781,0.0360318903
1,3,75,0.9897279289,0.2047023157,0.9886698058,0.0369158834
1,4,75,0.991532482,0.2294500399,0.9885226604,0.036273026
2,0,75,0.9890679748,0.2053354766,0.9922796795,0.0289884559
2,1,75,0.992571829,0.1909054752,0.9925710124,0.0275156068
2,2,75,0.9907498248,0.1889908244,0.991405681,0.0300431503
2,3,75,0.9875262789,0.2203344291,0.9918426803,0.0311978677
2,4,75,0.9889278206,0.2161516586,0.9918426803,0.0296022377
