"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
2,3,5,100,0.994253679,0.0185542494,0.9918426803,0.0298522732
2,4,5,100,0.993412754,0.0195740284,0.990386016,0.0305852949
3,0,5,100,0.9942936674,0.0189587275,0.9901687454,0.0343290532
3,1,5,100,0.9935977731,0.0218801323,0.9888481291,0.0368282005
3,2,5,100,0.9948503827,0.0198046789,0.9894350697,0.0312415414
3,3,5,100,0.9949895616,0.0183976438,0.9888481291,0.0335304502
3,4,5,100,0.9951287404,0.017540277,0.9903154806,0.0311496217
0,0,10,25,0.9954134816,0.0189746425,0.9872152829,0.036539419
0,1,10,25,0.9947185546,0.0175616269,0.9883908891,0.0362781241
0,2,10,25,0.9952744962,0.019037625,0.9891256429,0.0339821193
0,3,10,25,0.99485754,0.0181749034,0.9886847906,0.0353321918
0,4,10,25,0.9943015983,0.018561495,0.9889786921,0.0342644686
1,0,10,25,0.9941699056,0.0232092482,0.9882283697,0.0409169275
1,1,10,25,0.993337035,0.0253115367,0.9888169512,0.0341781306
1,2,10,25,0.9945863409,0.0203856521,0.988375515,0.0364130948
1,3,10,25,0.9937534703,0.0255878452,0.9880812242,0.0374228015
1,4,10,25,0.9941699056,0.0233779851,0.9894055327,0.0325109226
2,0,10,25,0.9948142957,0.0162420704,0.9911143481,0.0309759323
2,1,10,25,0.994253679,0.0187971661,0.992425346,0.0293528594
2,2,10,25,0.9943938332,0.0167379279,0.9911143481,0.0331108331
2,3,10,25,0.9946741416,0.0179759333,0.990386016,0.0318214932
2,4,10,25,0.9950946041,0.0172878421,0.9908230153,0.0310279206
3,0,10,25,0.9949895616,0.0188518091,0.9885546588,0.0328214298
3,1,10,25,0.9935977731,0.022418514,0.9903154806,0.0325631355
3,2,10,25,0.9941544885,0.0211725892,0.9882611886,0.0374615121
3,3,10,25,0.9944328462,0.0203629747,0.98972854,0.0333021881
3,4,10,25,0.9938761308,0.0192677173,0.9894350697,0.0350306754
0,0,10,50,0.9945795691,0.0192247316,0.9888317414,0.0361346584
0,1,10,50,0.99485754,0.0180559303,0.9886847906,0.034993902
0,2,10,50,0.9938846421,0.0241981237,0.9891256429,0.0337960827
0,3,10,50,0.9954134816,0.0170388903,0.9880969875,0.037439477
0,4,10,50,0.9952744962,0.0183108781,0.9886847906,0.0379474298
1,0,10,50,0.9936146585,0.0250325418,0.9891112419,0.0390808592
1,1,10,50,0.9945863409,0.0207678381,0.9882283697,0.0357012028
1,2,10,50,0.9923653526,0.0248253544,0.9876397881,0.0381180208
1,3,10,50,0.995141588,0.0203207911,0.9889640966,0.0359000567
1,4,10,50,0.9941699056,0.0232358505,0.9895526781,0.0361484589
2,0,10,50,0.9945339874,0.0186948402,0.990386016,0.0335164667
2,1,10,50,0.9952347582,0.0165900012,0.9915513474,0.0279608589
2,2,10,50,0.9952347582,0.0176367545,0.9922796795,0.0286817112
2,3,10,50,0.9945339874,0.0173461781,0.991405681,0.0296575523
2,4,10,50,0.9950946041,0.0161995313,0.9921340131,0.0271934208
3,0,10,50,0.9948503827,0.0180998724,0.9888481291,0.0328878046
3,1,10,50,0.9948503827,0.0190195944,0.9894350697,0.0302456734
3,2,10,50,0.9952679193,0.0173767625,0.9900220103,0.0312624726
3,3,10,50,0.9938761308,0.0192121188,0.9906089508,0.0312191538
3,4,10,50,0.9952679193,0.0195427763,0.9892883346,0.0333957973
0,0,10,75,0.9933287005,0.0236215941,0.987803086,0.0378331034
0,1,10,75,0.9949965254,0.0187913133,0.987803086,0.0373493768
0,2,10,75,0.9944405837,0.0194949082,0.9889786921,0.0350901966
0,3,10,75,0.99485754,0.019164682,0.9875091844,0.0365771425
0,4,10,75,0.9952744962,0.0170265565,0.9892725937,0.0350928352
1,0,10,75,0.9934758468,0.0239888543,0.9879340789,0.0380357012
1,1,10,75,0.9941699056,0.0227778889,0.9898469688,0.0388389619
1,2,10,75,0.9930594114,0.0271967923,0.9873454974,0.039856142
1,3,10,75,0.993337035,0.0266507681,0.9892583873,0.0378680081
1,4,10,75,0.9938922821,0.0241442233,0.9877869335,0.0364387827
