"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
2,2,95,0.9939733707,0.0199669757,0.8088856519,0.6334714287
2,3,95,0.9936930624,0.0208883941,0.8101966497,0.6956473303
2,4,95,0.9946741416,0.0164023704,0.8094683176,0.6624969784
3,0,95,0.9942936674,0.0198681775,0.8044020543,0.6728220333
3,1,95,0.9948503827,0.0166748455,0.8045487895,0.6782273811
3,2,95,0.9948503827,0.0169039868,0.8045487895,0.6302214291
3,3,95,0.9885873347,0.0388997599,0.8055759355,0.6076906169
3,4,95,0.9947112039,0.0177338608,0.804108584,0.6197538706
4,0,95,0.9946651692,0.019621031,0.8096553729,0.7511037525
4,1,95,0.9938228275,0.0201750187,0.8087828995,0.7308203374
4,2,95,0.9938228275,0.0222386523,0.8095099607,0.6442845013
4,3,95,0.9949459497,0.0179174171,0.8098007852,0.5575360194
4,4,95,0.9938228275,0.0213917019,0.8087828995,0.6108514515
0,0,99,0.99485754,0.0206711568,0.8119030125,1.5059015717
0,1,99,0.9941626129,0.0221231573,0.811609111,1.25988437
0,2,99,0.9954134816,0.0177323365,0.8113152094,1.2725682719
0,3,99,0.9952744962,0.0191605006,0.8107274063,1.3827776531
0,4,99,0.99485754,0.0182502806,0.8113152094,1.2031773186
1,0,99,0.9940310938,0.0235452335,0.8012065921,1.3151618281
1,1,99,0.9944475292,0.0221355456,0.8001765745,1.5066103196
1,2,99,0.9944475292,0.0215160686,0.8009123014,1.1216692846
1,3,99,0.9950027762,0.0199314,0.8006180106,1.3114091054
1,4,99,0.9945863409,0.0194923738,0.7997351383,1.3263690261
2,0,99,0.9945339874,0.0217174417,0.8104879826,1.3126989666
2,1,99,0.9939733707,0.0187275377,0.810633649,1.3200781755
2,2,99,0.9941135249,0.0172081235,0.8101966497,1.3267091519
2,3,99,0.9946741416,0.0177838379,0.810633649,1.2442977554
2,4,99,0.9943938332,0.0186189932,0.8094683176,1.2075265749
3,0,99,0.9954070981,0.0174576852,0.8029347029,1.4838382345
3,1,99,0.9945720251,0.0227217613,0.8049889949,1.2761075432
3,2,99,0.9945720251,0.019988968,0.8045487895,1.3434863527
3,3,99,0.9949895616,0.0189003736,0.8049889949,1.4055737244
3,4,99,0.995546277,0.017443044,0.8038151137,1.3777957519
4,0,99,0.9949459497,0.0187233216,0.8092191362,1.4165616604
4,1,99,0.99508634,0.0204428666,0.8095099607,0.9994963805
4,2,99,0.993120876,0.02619349,0.8098007852,1.3127897272
4,3,99,0.9932612663,0.0227330168,0.8086374872,1.3212865734
4,4,99,0.99508634,0.0182280633,0.807328777,1.3180106025
0,0,100,0.99485754,0.0207478188,0.8104335048,2.8963557481
0,1,100,0.9943015983,0.0216602462,0.8110213079,2.9112726377
0,2,100,0.9944405837,0.0194630325,0.811609111,2.8738750049
0,3,100,0.9954134816,0.0173567372,0.810286554,2.9079084865
0,4,100,0.995552467,0.0172110123,0.8114621602,2.9010827663
1,0,100,0.9938922821,0.0233062956,0.8001765745,3.0386494736
1,1,100,0.9944475292,0.0232371001,0.800765156,3.0324256892
1,2,100,0.9940310938,0.0215725992,0.8012065921,3.0476219693
1,3,100,0.9944475292,0.0211511698,0.8003237198,2.9942646518
1,4,100,0.9945863409,0.021350841,0.8004708652,3.0668205561
2,0,100,0.9945339874,0.0191354042,0.8103423161,2.9610609411
2,1,100,0.9939733707,0.0179105439,0.810633649,2.9391784032
2,2,100,0.9950946041,0.016507491,0.809613984,2.9388292239
2,3,100,0.9938332165,0.0205849336,0.8104879826,2.9023238108
2,4,100,0.9943938332,0.0182555675,0.8093226512,2.9483800131
3,0,100,0.9944328462,0.0189808894,0.8054292003,2.9694905365
3,1,100,0.9933194154,0.0213329144,0.8046955246,2.9588665923
3,2,100,0.993736952,0.0211615304,0.8048422597,3.0061791561
3,3,100,0.9947112039,0.0181768584,0.8038151137,3.0139954249
3,4,100,0.9926235212,0.0249905944,0.8039618489,3.0020542036
4,0,100,0.9939632177,0.0241323961,0.8102370219,2.941453263
4,1,100,0.9939632177,0.0227485147,0.8083466627,2.92247719
4,2,100,0.9949459497,0.0187829447,0.8095099607,2.9280044627
4,3,100,0.9948055595,0.0201843081,0.8086374872,2.9463996699
4,4,100,0.9952267303,0.0183633081,0.8096553729,2.9313682609
