"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
1,1,25,0.9944475292,0.021806799,0.9886698058,0.0356673128
1,2,25,0.9941699056,0.0241911738,0.9888169512,0.0354614929
1,3,25,0.9945863409,0.020534322,0.9877869335,0.0383790893
1,4,25,0.9930594114,0.0244111005,0.9899941142,0.0345791906
2,0,25,0.993412754,0.0200020095,0.9928623452,0.0280855512
2,1,25,0.9950946041,0.0149598535,0.9918426803,0.0266195899
2,2,25,0.9945339874,0.0168576344,0.9927166788,0.0278482897
2,3,25,0.9943938332,0.0178519964,0.9919883467,0.0298891986
2,4,25,0.9948142957,0.017649484,0.9921340131,0.0291919189
3,0,25,0.9949895616,0.0171197089,0.9910491563,0.033054253
3,1,25,0.9934585943,0.0210798503,0.9900220103,0.0309508703
3,2,25,0.9949895616,0.0173780163,0.9885546588,0.0348034866
3,3,25,0.9945720251,0.0196300299,0.9901687454,0.0323517188
3,4,25,0.9952679193,0.0171711055,0.98972854,0.0333170958
4,0,25,0.9946651692,0.0207295265,0.989239494,0.0325387963
4,1,25,0.9946651692,0.0205200756,0.9895303185,0.0337181056
4,2,25,0.9928400955,0.0218894656,0.9902573797,0.0331801907
4,3,25,0.9943843886,0.0201007456,0.9895303185,0.0321353567
4,4,25,0.9939632177,0.0227756177,0.9896757307,0.0335808748
0,0,50,0.99485754,0.0215607965,0.9885378398,0.0357662599
0,1,50,0.9944405837,0.0222997536,0.9872152829,0.0369276472
0,2,50,0.9945795691,0.0197958604,0.9892725937,0.0340556585
0,3,50,0.9956914524,0.0175644986,0.9900073475,0.0336965841
0,4,50,0.9951355108,0.0170096221,0.987803086,0.0361361569
1,0,50,0.9938922821,0.0213547049,0.9888169512,0.03439396
1,1,50,0.9947251527,0.0215968076,0.9888169512,0.034766839
1,2,50,0.9950027762,0.0213198464,0.9888169512,0.0371346398
1,3,50,0.9940310938,0.0223736815,0.9880812243,0.0370090307
1,4,50,0.9937534703,0.0247744794,0.9888169512,0.0354875096
2,0,50,0.9941135249,0.0183383387,0.9909686817,0.0323026566
2,1,50,0.9941135249,0.0203962997,0.9919883467,0.027364595
2,2,50,0.9941135249,0.021748562,0.9915513474,0.029215234
2,3,50,0.994253679,0.0160521948,0.991405681,0.0296957507
2,4,50,0.993412754,0.018893172,0.9925710124,0.0269778778
3,0,50,0.9915100905,0.0288255382,0.9895818048,0.0329825731
3,1,50,0.9954070981,0.0183216681,0.9894350697,0.0343927659
3,2,50,0.9944328462,0.0216512524,0.9901687454,0.0336474645
3,3,50,0.9951287404,0.0195877215,0.9903154806,0.0320662151
3,4,50,0.9956854558,0.0170846319,0.98972854,0.0330719123
4,0,50,0.9949459497,0.0177723185,0.9889486695,0.0332821169
4,1,50,0.9928400955,0.026628966,0.9901119674,0.0335581935
4,2,50,0.9942439983,0.0213136606,0.9893849062,0.0353049281
4,3,50,0.9934016566,0.021963923,0.9899665552,0.0339701275
4,4,50,0.9946651692,0.0182809759,0.9908390286,0.0299501894
0,0,75,0.9954134816,0.0186026006,0.9894195445,0.0342965686
0,1,75,0.9954134816,0.0181950939,0.9894195445,0.0342427347
0,2,75,0.9958304378,0.0160616666,0.9886847906,0.0363997671
0,3,75,0.9951355108,0.0186869107,0.9876561352,0.0365757001
0,4,75,0.9954134816,0.0181548303,0.9895664952,0.0345102524
1,0,75,0.993337035,0.0260035008,0.9889640966,0.0373988136
1,1,75,0.9937534703,0.0241872912,0.9886698058,0.0350304129
1,2,75,0.9929205997,0.0229188411,0.9888169512,0.0376626554
1,3,75,0.9945863409,0.0222011314,0.9899941142,0.0352438985
1,4,75,0.9929205997,0.0296582144,0.988375515,0.0376429861
2,0,75,0.9953749124,0.0180008071,0.9884923525,0.0359545987
2,1,75,0.9953749124,0.0158161072,0.9916970138,0.0269246539
2,2,75,0.9949544499,0.0170154194,0.9925710124,0.0287910997
2,3,75,0.9941135249,0.018633861,0.9900946832,0.0303336708
2,4,75,0.9946741416,0.0192991824,0.991405681,0.0297745888
3,0,75,0.995546277,0.018460963,0.9895818048,0.0307729082
3,1,75,0.9935977731,0.0195357315,0.9891415994,0.0334464297
3,2,75,0.9944328462,0.018453222,0.9900220103,0.0307141548
3,3,75,0.9930410578,0.0251862023,0.988701394,0.0330181209
3,4,75,0.9938761308,0.0205799977,0.9898752751,0.0326193201
4,0,75,0.9949459497,0.0207790715,0.9898211429,0.0355578819
4,1,75,0.9934016566,0.0219239727,0.9893849062,0.0322457055
4,2,75,0.9934016566,0.021990691,0.9896757307,0.034540421
4,3,75,0.994103608,0.0212800203,0.9899665552,0.0319675257
4,4,75,0.9938228275,0.0188397781,0.9904027919,0.0308162811
0,0,80,0.9945795691,0.0200556924,0.9886847906,0.0349679508
0,1,80,0.9951355108,0.017580333,0.9895664952,0.0316523339
0,2,80,0.99485754,0.0196349119,0.9895664952,0.0327221092
0,3,80,0.99485754,0.0195809686,0.9886847906,0.0365891067
