Mutation Number,Run Number,Accuracy1,Loss1,Accuracy2,Loss2
66,4,0.99494595,0.019204313,0.990548204,0.02733103
66,5,0.993143017,0.023026624,0.990078786,0.031654779
66,6,0.99324134,0.023140116,0.989707161,0.032292652
66,7,0.994396189,0.019612143,0.991401924,0.030896274
66,8,0.994550789,0.020645065,0.990939646,0.032534975
66,9,0.99467638,0.02155349,0.990964733,0.030865588
66,10,0.995139564,0.015509555,0.990586851,0.03136243
66,11,0.997032222,0.011254726,0.989168111,0.03776822
66,12,0.991028876,0.027335306,0.991552578,0.024869421
66,13,0.993729097,0.025169108,0.989888628,0.032434337
66,14,0.995467422,0.014702371,0.990345821,0.02830284
66,15,0.994047619,0.018714877,0.991883117,0.023253894
66,16,0.99333796,0.02535815,0.989698308,0.030320983
66,17,0.99397506,0.018142994,0.991694594,0.026859118
66,18,0.995148323,0.017511627,0.992337165,0.026255205
66,19,0.994706046,0.01884288,0.991058341,0.026728542
67,0,0.99305073,0.022403218,0.987362234,0.03593838
67,1,0.993198223,0.022486549,0.987492643,0.041709497
67,2,0.990889979,0.032056329,0.99227968,0.027618197
67,3,0.994711204,0.016636065,0.989288335,0.032075197
67,4,0.993963218,0.021010431,0.990548204,0.031838603
67,5,0.993282955,0.025901714,0.988765684,0.038148653
67,6,0.994367784,0.017830337,0.989707161,0.032110511
67,7,0.994536285,0.019141446,0.990090353,0.035486503
67,8,0.994550789,0.02246755,0.990355107,0.034305948
67,9,0.994536285,0.021571063,0.988341591,0.036213106
67,10,0.994722955,0.016811248,0.989410207,0.034556493
67,11,0.996184285,0.011773999,0.988879261,0.036406337
67,12,0.99523409,0.012953502,0.989950481,0.029428956
67,13,0.990245262,0.031309536,0.990474795,0.032896219
67,14,0.995325779,0.016789306,0.989048991,0.032320141
67,15,0.994186047,0.019303161,0.991587957,0.026283325
67,16,0.993476752,0.024160407,0.988226637,0.037397411
67,17,0.994675634,0.013843833,0.990091797,0.031934385
67,18,0.995286942,0.019323428,0.991010905,0.02952802
67,19,0.994706046,0.019493037,0.991058341,0.030714438
119,0,0.994023628,0.020420467,0.991917708,0.031426769
119,1,0.994586341,0.02353593,0.988081224,0.041262187
119,2,0.994113525,0.018517262,0.993590677,0.024188835
119,3,0.995267919,0.016494114,0.98943507,0.034002966
119,4,0.994524779,0.019744264,0.991275265,0.027216171
119,5,0.994122586,0.021246936,0.990662387,0.030826922
119,6,0.994367784,0.018122778,0.987822557,0.037314649
119,7,0.994536285,0.018900609,0.990964733,0.029206155
