"Run Number","Mutation Number","Percentage","Loss","Accuracy"
1,3,100,2.248296374,0.6753333333
1,4,100,2.2709703261,0.6825
2,0,100,2.1465685582,0.6824166667
2,1,100,2.2378979577,0.678
2,2,100,2.1840478757,0.6901666667
2,3,100,2.252272202,0.6789166667
2,4,100,2.2978597445,0.6725
3,0,100,2.1734088532,0.6869166667
3,1,100,2.2827606266,0.67425
3,2,100,2.2071121145,0.6881666667
3,3,100,2.268305136,0.6755833333
3,4,100,2.2369259921,0.6806666667
4,0,100,2.1566719346,0.6860833333
4,1,100,2.2179206899,0.688
4,2,100,2.1916899405,0.6865
4,3,100,2.2538834187,0.6729166667
4,4,100,2.3192925839,0.6684166667
0,0,100,2.160537816,0.69125
0,1,100,2.2457766755,0.6784166667
0,2,100,2.193240857,0.687
0,3,100,2.2385782317,0.6788333333
0,4,100,2.2766771582,0.6781666667
