Run Number,Mutation Number,Percentage,StDev,Accuracy,Loss
2,2,25,25,0.820724025,0.72716665
2,3,25,25,0.820721171,0.7240833
2,4,25,25,0.774495,0.743
3,0,25,25,0.797567593,0.7255
3,1,25,25,0.779905354,0.7363333
3,2,25,25,0.838736626,0.7225
3,3,25,25,0.792611277,0.726
3,4,25,25,0.799013546,0.73508334
4,0,25,25,0.799281317,0.74041665
4,1,25,25,0.741583897,0.7435
4,2,25,25,0.789475894,0.7273333
4,3,25,25,0.774006566,0.73333335
4,4,25,25,0.760406099,0.7359167
0,0,25,50,0.758807044,0.73925
0,1,25,50,0.733032766,0.749
0,2,25,50,0.758580749,0.7464167
0,3,25,50,0.803121479,0.72725
0,4,25,50,0.736929759,0.74883336
1,0,25,50,0.760293748,0.74483335
1,1,25,50,0.76502904,0.74475
1,2,25,50,0.749163279,0.74041665
1,3,25,50,0.745222453,0.74308336
1,4,25,50,0.781831438,0.73516667
2,0,25,50,0.750261912,0.74733335
2,1,25,50,0.75004274,0.74366665
2,2,25,50,0.792087477,0.7435833
2,3,25,50,0.786498781,0.7309167
2,4,25,50,0.786345711,0.7381667
3,0,25,50,0.821167543,0.72366667
3,1,25,50,0.761816873,0.7353333
3,2,25,50,0.788687152,0.73191667
3,3,25,50,0.774295747,0.72875
3,4,25,50,0.76364602,0.74025
4,0,25,50,0.771116017,0.7355
4,1,25,50,0.73776944,0.748
4,2,25,50,0.760319583,0.7420833
4,3,25,50,0.749274493,0.7418333
4,4,25,50,0.821416061,0.71966666
0,0,25,75,0.738906608,0.74408334
0,1,25,75,0.781718193,0.7326667
0,2,25,75,0.789620672,0.73966664
0,3,25,75,0.763849546,0.74266666
0,4,25,75,0.78736463,0.7359167
1,0,25,75,0.757361927,0.74541664
1,1,25,75,0.761826845,0.7405
1,2,25,75,0.772144311,0.73641664
1,3,25,75,0.75786767,0.7449167
1,4,25,75,0.763109854,0.73941666
2,0,25,75,0.765369442,0.73908335
2,1,25,75,0.756453829,0.74216664
2,2,25,75,0.775207479,0.736
2,3,25,75,0.735155998,0.74883336
2,4,25,75,0.733931728,0.753
3,0,25,75,0.815272594,0.72008336
3,1,25,75,0.749334348,0.7399167
3,2,25,75,0.790984675,0.72725
3,3,25,75,0.757187677,0.7395
3,4,25,75,0.818158581,0.71791667
4,0,25,75,0.811324413,0.73158336
4,1,25,75,0.761405349,0.7391667
4,2,25,75,0.737121156,0.7428333
4,3,25,75,0.763652572,0.73258334
4,4,25,75,0.781557599,0.73441666
0,0,25,100,0.796672146,0.72933334
0,1,25,100,0.774795596,0.73391664
0,2,25,100,0.756510897,0.7431667
0,3,25,100,0.748232614,0.7453333
0,4,25,100,0.784593025,0.73116666
1,0,25,100,0.809506211,0.728
1,1,25,100,0.779917304,0.73683333
1,2,25,100,0.771807026,0.73541665
1,3,25,100,0.759009566,0.7415
1,4,25,100,0.765286044,0.7405
2,0,25,100,0.758671637,0.7406667
2,1,25,100,0.764059042,0.74158335
2,2,25,100,0.751608397,0.74591666
2,3,25,100,0.759333619,0.745
2,4,25,100,0.750092198,0.74483335
3,0,25,100,0.758379273,0.7418333
3,1,25,100,0.760428019,0.7365
3,2,25,100,0.752165928,0.74425
3,3,25,100,0.760851439,0.73725
3,4,25,100,0.761032828,0.7388333
4,0,25,100,0.741990826,0.74441665
4,1,25,100,0.758832173,0.7335
4,2,25,100,0.737266441,0.74658334
4,3,25,100,0.756781781,0.737
4,4,25,100,0.746116731,0.74591666
0,0,50,25,0.88692668,0.69725
0,1,50,25,0.875425437,0.716
0,2,50,25,0.831408825,0.71641666
0,3,50,25,0.863632444,0.71383333
0,4,50,25,0.880813977,0.7008333
1,0,50,25,0.854988872,0.71066666
1,1,50,25,0.860906281,0.71133333
1,2,50,25,0.914077046,0.6954167
1,3,50,25,0.842627341,0.71241665
1,4,50,25,0.869102916,0.70358336
2,0,50,25,0.866871126,0.70925
2,1,50,25,0.844195256,0.70858335
2,2,50,25,0.870934263,0.6964167
2,3,50,25,0.85352675,0.70675
2,4,50,25,0.836011692,0.71166664
3,0,50,25,0.861116262,0.7058333
3,1,50,25,0.856425302,0.7100833
3,2,50,25,0.994807636,0.6975833
3,3,50,25,0.833055763,0.7148333
3,4,50,25,0.909847859,0.6845
4,0,50,25,0.866387594,0.7046667
4,1,50,25,0.857183896,0.709
4,2,50,25,0.929638146,0.70275
4,3,50,25,0.830582817,0.71933335
4,4,50,25,0.833940094,0.71325
0,0,50,50,0.8340886,0.71125
0,1,50,50,0.79505945,0.72933334
0,2,50,50,0.902806702,0.6964167
0,3,50,50,0.840638185,0.7165
0,4,50,50,0.823665893,0.71358335
1,0,50,50,0.802381399,0.7273333
1,1,50,50,0.831037547,0.71425
1,2,50,50,0.830136959,0.7133333
1,3,50,50,0.880994063,0.7021667
1,4,50,50,0.958361155,0.6996667
2,0,50,50,0.95429812,0.6766667
2,1,50,50,0.864078946,0.70491666
2,2,50,50,0.839978893,0.718
2,3,50,50,0.850182996,0.70966667
2,4,50,50,0.867707792,0.7043333
3,0,50,50,0.826183794,0.71166664
3,1,50,50,0.859837956,0.70625
3,2,50,50,0.90891271,0.69516665
3,3,50,50,0.844534102,0.70208335
3,4,50,50,0.847340237,0.70683336
4,0,50,50,0.819433649,0.72175
4,1,50,50,0.880903982,0.70841664
4,2,50,50,0.831680718,0.71433336
4,3,50,50,0.897836507,0.69958335
4,4,50,50,0.863855097,0.71091664
0,0,50,75,0.823454245,0.7176667
0,1,50,75,0.82313273,0.71416664
0,2,50,75,0.856039226,0.70891666
0,3,50,75,0.858207094,0.70725
0,4,50,75,0.84390856,0.71175
1,0,50,75,0.827718028,0.717
1,1,50,75,0.863724548,0.7069167
1,2,50,75,0.795176547,0.732
1,3,50,75,0.831544508,0.72066665
1,4,50,75,0.832556539,0.71508336
2,0,50,75,0.857133294,0.70916665
2,1,50,75,0.862945378,0.70458335
2,2,50,75,0.929386286,0.7061667
2,3,50,75,0.868930028,0.70241666
2,4,50,75,0.847251324,0.7108333
3,0,50,75,0.850672829,0.7046667
3,1,50,75,0.850509543,0.70391667
3,2,50,75,0.872956332,0.70233333
3,3,50,75,0.936524398,0.67433333
3,4,50,75,0.86634456,0.708
4,0,50,75,0.828018555,0.72025
4,1,50,75,0.90342996,0.6954167
4,2,50,75,0.832285289,0.7169167
4,3,50,75,0.861295822,0.70033336
4,4,50,75,0.906997773,0.69208336
0,0,50,100,0.828896414,0.72
0,1,50,100,0.821948398,0.7184167
0,2,50,100,0.864362667,0.7033333
0,3,50,100,0.844699003,0.70916665
0,4,50,100,0.802073039,0.72525
1,0,50,100,0.870321546,0.70241666
1,1,50,100,0.841273937,0.7123333
1,2,50,100,0.862024401,0.7035
1,3,50,100,0.848209643,0.7125
1,4,50,100,0.88028422,0.6985833
2,0,50,100,0.862344062,0.70591664
2,1,50,100,0.809153689,0.72275
2,2,50,100,0.851498561,0.71183336
2,3,50,100,0.819329149,0.71925
2,4,50,100,0.828390992,0.7194167
3,0,50,100,0.838942707,0.70925
3,1,50,100,0.804077957,0.71666664
3,2,50,100,0.861829041,0.7045
3,3,50,100,0.848597352,0.70816666
3,4,50,100,0.86194851,0.70566666
4,0,50,100,0.876320683,0.69383335
4,1,50,100,0.867439002,0.70125
4,2,50,100,0.816441632,0.7205
4,3,50,100,0.814969534,0.72241664
4,4,50,100,0.870813797,0.69883335
0,0,75,25,1.122207374,0.6335
0,1,75,25,1.075295459,0.63575
0,2,75,25,1.030427126,0.65133333
0,3,75,25,0.997778711,0.657
0,4,75,25,1.067496098,0.6375
1,0,75,25,1.091828992,0.64608335
1,1,75,25,1.033229628,0.66066664
1,2,75,25,1.038320768,0.6400833
1,3,75,25,1.005990734,0.65133333
1,4,75,25,1.051366336,0.65075
2,0,75,25,1.115384197,0.62158334
2,1,75,25,1.041305912,0.6379167
2,2,75,25,1.083091571,0.63175
2,3,75,25,1.100866616,0.6325833
2,4,75,25,1.058641061,0.6461667
3,0,75,25,1.059072434,0.6235
3,1,75,25,0.986977938,0.65541667
3,2,75,25,1.155120245,0.614
3,3,75,25,1.08615789,0.6285833
3,4,75,25,1.0348813,0.6390833
4,0,75,25,1.049185847,0.6386667
4,1,75,25,1.06038511,0.63625
4,2,75,25,1.057028516,0.64825
4,3,75,25,1.045684352,0.63341665
4,4,75,25,1.116505041,0.63225
0,0,75,50,0.973782245,0.66241664
0,1,75,50,1.003438401,0.65241665
0,2,75,50,1.077910508,0.62958336
0,3,75,50,1.075083322,0.62941664
0,4,75,50,1.077985361,0.6368333
1,0,75,50,1.109274922,0.63883334
1,1,75,50,1.033649913,0.6445
1,2,75,50,1.054080607,0.645
1,3,75,50,0.953600922,0.6734167
1,4,75,50,0.970555577,0.6601667
2,0,75,50,1.000129306,0.66116667
2,1,75,50,1.053133344,0.6433333
2,2,75,50,1.037905869,0.636
2,3,75,50,1.010069003,0.659
2,4,75,50,1.050121641,0.64391667
3,0,75,50,1.032362071,0.64458334
3,1,75,50,1.047231005,0.63525
3,2,75,50,1.043214634,0.64241666
3,3,75,50,1.030435182,0.64108336
3,4,75,50,1.054514664,0.64275
4,0,75,50,0.99504576,0.65783334
4,1,75,50,1.00355502,0.6566667
4,2,75,50,1.036878646,0.64325
4,3,75,50,0.9904805,0.6533333
4,4,75,50,1.008936045,0.65258336
0,0,75,75,1.111515038,0.6165
0,1,75,75,1.050392259,0.64666665
0,2,75,75,1.009801327,0.6544167
0,3,75,75,1.057753301,0.64383334
0,4,75,75,0.997436939,0.6525
1,0,75,75,0.985916408,0.663
1,1,75,75,0.962485481,0.66933334
1,2,75,75,1.039037756,0.6345
1,3,75,75,1.01571111,0.6444167
1,4,75,75,1.069987487,0.634
2,0,75,75,1.045397554,0.633
2,1,75,75,0.974503656,0.6645833
2,2,75,75,1.08022384,0.63708335
2,3,75,75,1.009386092,0.651
2,4,75,75,1.018833676,0.65166664
3,0,75,75,0.986797932,0.65708333
3,1,75,75,1.170496581,0.60891664
3,2,75,75,1.026150521,0.6505
3,3,75,75,0.967094203,0.66675
3,4,75,75,1.106073243,0.61433333
4,0,75,75,1.026820887,0.643
4,1,75,75,0.998208706,0.6540833
4,2,75,75,1.033811384,0.64341664
4,3,75,75,1.032747274,0.642
4,4,75,75,1.106794767,0.6300833
0,0,75,100,1.057566805,0.64275
0,1,75,100,1.051518507,0.64358336
0,2,75,100,0.98177894,0.6649167
0,3,75,100,1.042938874,0.64141667
0,4,75,100,1.016374077,0.64775
1,0,75,100,1.014054561,0.64991665
1,1,75,100,0.990275421,0.65541667
1,2,75,100,1.020747178,0.647
1,3,75,100,1.016600976,0.65025
1,4,75,100,1.015169978,0.6483333
2,0,75,100,1.009059079,0.6465833
2,1,75,100,1.0269028,0.64633334
2,2,75,100,0.966652186,0.66716665
2,3,75,100,1.060711946,0.6318333
2,4,75,100,1.094961168,0.6193333
3,0,75,100,1.109963712,0.61216664
3,1,75,100,1.025867032,0.63983333
3,2,75,100,1.02274792,0.6458333
3,3,75,100,1.022733147,0.6390833
3,4,75,100,1.037171548,0.63925
4,0,75,100,1.039539383,0.6451667
4,1,75,100,0.993503305,0.6555
4,2,75,100,1.016037688,0.64716667
4,3,75,100,1.008195539,0.65258336
4,4,75,100,1.062530883,0.6386667
0,0,80,25,1.176389904,0.6078333
0,1,80,25,1.129366161,0.61825
0,2,80,25,1.208341957,0.5855
0,3,80,25,1.147183869,0.60033333
0,4,80,25,1.097912309,0.62191665
1,0,80,25,1.182673783,0.6085
1,1,80,25,1.121660725,0.62233335
1,2,80,25,1.080324385,0.6321667
1,3,80,25,1.119899647,0.61733335
1,4,80,25,1.133161031,0.62175
2,0,80,25,1.15906403,0.60525
2,1,80,25,1.167426176,0.59716666
2,2,80,25,1.129380291,0.61225
2,3,80,25,1.13300556,0.61
2,4,80,25,1.14304858,0.6001667
3,0,80,25,1.17716907,0.5919167
3,1,80,25,1.107491771,0.61366665
3,2,80,25,1.105738575,0.6191667
3,3,80,25,1.207310694,0.5775
3,4,80,25,1.151754378,0.60316664
4,0,80,25,1.100947491,0.6155
4,1,80,25,1.144996434,0.6145
4,2,80,25,1.286217895,0.55825
4,3,80,25,1.123912365,0.61766666
4,4,80,25,1.164506308,0.60566664
0,0,80,50,1.041058841,0.6411667
0,1,80,50,1.116795898,0.6214167
0,2,80,50,1.108499714,0.61466664
0,3,80,50,1.098773289,0.62008333
0,4,80,50,1.070223651,0.62908334
1,0,80,50,1.145895921,0.61483335
1,1,80,50,1.10233494,0.6189167
1,2,80,50,1.107167895,0.6185833
1,3,80,50,1.054897705,0.63241667
1,4,80,50,1.08636566,0.633
2,0,80,50,1.19167428,0.58991665
2,1,80,50,1.092169101,0.6254167
2,2,80,50,1.078730316,0.6224167
2,3,80,50,1.125829751,0.6065
2,4,80,50,1.116734429,0.61141664
3,0,80,50,1.103697393,0.60983336
3,1,80,50,1.057254222,0.6300833
3,2,80,50,1.113234774,0.60641664
3,3,80,50,1.171821109,0.5851667
3,4,80,50,1.079703418,0.62308335
4,0,80,50,1.069074443,0.6325
4,1,80,50,1.068850946,0.62383336
4,2,80,50,1.088746805,0.626
4,3,80,50,1.156843665,0.6051667
4,4,80,50,1.039203614,0.6345
0,0,80,75,1.088793681,0.6303333
0,1,80,75,1.057830153,0.63125
0,2,80,75,1.093323677,0.62408334
0,3,80,75,1.068987108,0.6355
0,4,80,75,1.101930843,0.61733335
1,0,80,75,1.077035263,0.6249167
1,1,80,75,1.107512374,0.61758333
1,2,80,75,1.002473367,0.6454167
1,3,80,75,1.05829217,0.63441664
1,4,80,75,1.10029102,0.62775
2,0,80,75,1.021176442,0.6476667
2,1,80,75,1.076809703,0.62383336
2,2,80,75,1.055593997,0.6305
2,3,80,75,1.007812215,0.6486667
2,4,80,75,1.074312961,0.62341666
3,0,80,75,1.144701163,0.5955833
3,1,80,75,1.117092479,0.605
3,2,80,75,1.186094064,0.589
3,3,80,75,1.04245873,0.63441664
3,4,80,75,1.106617499,0.6155
4,0,80,75,1.175583456,0.5945
4,1,80,75,1.12729294,0.6135
4,2,80,75,1.042228414,0.64025
4,3,80,75,1.090626411,0.6274167
4,4,80,75,1.02740046,0.64525
0,0,80,100,1.036670298,0.6393333
0,1,80,100,1.057096674,0.63416666
0,2,80,100,1.081080151,0.628
0,3,80,100,1.034246812,0.6408333
0,4,80,100,1.122623695,0.60858333
1,0,80,100,1.05112316,0.63533336
1,1,80,100,1.030181503,0.64633334
1,2,80,100,1.013497328,0.6490833
1,3,80,100,1.061158728,0.63166666
1,4,80,100,1.043021796,0.63175
2,0,80,100,1.103367898,0.6218333
2,1,80,100,1.107128794,0.61233336
2,2,80,100,1.058854642,0.64266664
2,3,80,100,1.048552934,0.63458335
2,4,80,100,1.087745533,0.6281667
3,0,80,100,1.095063355,0.6128333
3,1,80,100,1.057286522,0.63158333
3,2,80,100,1.054048402,0.63325
3,3,80,100,1.101868317,0.617
3,4,80,100,1.105491812,0.62266666
4,0,80,100,1.040854093,0.63883334
4,1,80,100,1.122671015,0.6078333
4,2,80,100,1.13966416,0.6085
4,3,80,100,1.067536648,0.63016665
4,4,80,100,1.053827546,0.6329167
0,0,85,25,1.207698139,0.57441664
0,1,85,25,1.242958305,0.5714167
0,2,85,25,1.223528217,0.5700833
0,3,85,25,1.194815924,0.5729167
0,4,85,25,1.209995386,0.57033336
1,0,85,25,1.271119893,0.56583333
1,1,85,25,1.341760969,0.58108336
1,2,85,25,1.285281162,0.561
1,3,85,25,1.324049702,0.56591666
1,4,85,25,1.277857859,0.5754167
2,0,85,25,1.212180604,0.5835
2,1,85,25,1.239116833,0.57783335
2,2,85,25,1.212633945,0.57766664
2,3,85,25,1.290560725,0.56416667
2,4,85,25,1.305760118,0.5655
3,0,85,25,1.249839003,0.56125
3,1,85,25,1.23364755,0.5675
3,2,85,25,1.232727196,0.57283336
3,3,85,25,1.216745765,0.56866664
3,4,85,25,1.237008255,0.56733334
4,0,85,25,1.176241269,0.59866667
4,1,85,25,1.242130751,0.5706667
4,2,85,25,1.280068627,0.56516665
4,3,85,25,1.21282679,0.5793333
4,4,85,25,1.33135695,0.5725833
0,0,85,50,1.188765439,0.5938333
0,1,85,50,1.18720963,0.58425
0,2,85,50,1.145054288,0.594
0,3,85,50,1.179210623,0.5825
0,4,85,50,1.185580495,0.5880833
1,0,85,50,1.242431519,0.5646667
1,1,85,50,1.37248806,0.52991664
1,2,85,50,1.164879565,0.5933333
1,3,85,50,1.156851753,0.5911667
1,4,85,50,1.212999831,0.58058333
2,0,85,50,1.18451256,0.5965833
2,1,85,50,1.168943878,0.5998333
2,2,85,50,1.36233937,0.5423333
2,3,85,50,1.19007288,0.59533334
2,4,85,50,1.301362574,0.56825
3,0,85,50,1.20029547,0.57341665
3,1,85,50,1.218776214,0.59208333
3,2,85,50,1.240281139,0.57316667
3,3,85,50,1.191232475,0.5934167
3,4,85,50,1.222658839,0.5861667
4,0,85,50,1.163763747,0.59741664
4,1,85,50,1.210120505,0.58275
4,2,85,50,1.22338263,0.57958335
4,3,85,50,1.158563776,0.59966666
4,4,85,50,1.162059465,0.5965833
0,0,85,75,1.15010852,0.6078333
0,1,85,75,1.142085516,0.6051667
0,2,85,75,1.181482645,0.59175
0,3,85,75,1.150501298,0.59891665
0,4,85,75,1.208890123,0.58725
1,0,85,75,1.165066414,0.5955833
1,1,85,75,1.171927164,0.59141666
1,2,85,75,1.117158999,0.6053333
1,3,85,75,1.178345652,0.5876667
1,4,85,75,1.150198354,0.59741664
2,0,85,75,1.103968215,0.612
2,1,85,75,1.232486506,0.5858333
2,2,85,75,1.205340411,0.58208334
2,3,85,75,1.158562573,0.5925
2,4,85,75,1.23709484,0.57533336
3,0,85,75,1.216024151,0.57783335
3,1,85,75,1.21285057,0.5779167
3,2,85,75,1.164450572,0.5930833
3,3,85,75,1.203407553,0.575
3,4,85,75,1.239670501,0.57525
4,0,85,75,1.144647601,0.60108334
4,1,85,75,1.135932979,0.605
4,2,85,75,1.138960047,0.60658336
4,3,85,75,1.159906152,0.59325
4,4,85,75,1.171924436,0.60275
0,0,85,100,1.16274414,0.6025
0,1,85,100,1.156554533,0.6023333
0,2,85,100,1.163884455,0.59541667
0,3,85,100,1.219606843,0.5718333
0,4,85,100,1.174427433,0.5938333
1,0,85,100,1.170245257,0.58666664
1,1,85,100,1.256316418,0.57058334
1,2,85,100,1.215067173,0.57491666
1,3,85,100,1.218598331,0.5855
1,4,85,100,1.188862804,0.58525
2,0,85,100,1.149531582,0.60366666
2,1,85,100,1.151345203,0.60333335
2,2,85,100,1.130076289,0.6065
2,3,85,100,1.229960648,0.58316666
2,4,85,100,1.18101521,0.59708333
3,0,85,100,1.16178402,0.60116667
3,1,85,100,1.181793397,0.59
3,2,85,100,1.164416237,0.59225
3,3,85,100,1.150016106,0.58716667
3,4,85,100,1.202229751,0.585
4,0,85,100,1.151707302,0.60575
4,1,85,100,1.189809081,0.598
4,2,85,100,1.152724855,0.602
4,3,85,100,1.178684092,0.5933333
4,4,85,100,1.130976734,0.6091667
0,0,90,25,1.53453275,0.5018333
0,1,90,25,1.61942491,0.49825
0,2,90,25,1.395312437,0.51316667
0,3,90,25,1.534529305,0.45483333
0,4,90,25,1.471501717,0.50975
1,0,90,25,1.591126294,0.47008333
1,1,90,25,1.359258973,0.51975
1,2,90,25,1.484016613,0.50516665
1,3,90,25,1.332274485,0.53525
