"Run Number","Mutation Number","Percentage","Loss","Accuracy"
1,1,50,0.7631312795,0.75025
1,2,50,0.74996984,0.7489166667
1,3,50,0.7643079046,0.7474166667
1,4,50,0.7513044821,0.7523333333
2,0,50,0.7539119316,0.75725
2,1,50,0.7567654078,0.74975
2,2,50,0.7584538694,0.7525
2,3,50,0.7435113971,0.7514166667
2,4,50,0.7275797904,0.7625833333
3,0,50,0.747774573,0.76
3,1,50,0.7678837263,0.7453333333
3,2,50,0.7698413003,0.7625833333
3,3,50,0.7686933763,0.7489166667
3,4,50,0.7528771609,0.7511666667
4,0,50,0.7473336958,0.7610833333
4,1,50,0.7940260573,0.7415
4,2,50,0.7879118116,0.7524166667
4,3,50,0.744748907,0.7558333333
4,4,50,0.7442254717,0.7510833333
0,0,50,0.7519065144,0.7554166667
0,1,50,0.7890135145,0.75175
0,2,50,0.7517280947,0.7514166667
0,3,50,0.760382752,0.7454166667
0,4,50,0.7528174656,0.7560833333
1,0,75,0.8351513186,0.7415
1,1,75,0.8008278132,0.7396666667
1,2,75,0.8158907519,0.7434166667
1,3,75,0.8477268741,0.7268333333
1,4,75,0.8129186424,0.7413333333
2,0,75,0.8383662727,0.7354166667
2,1,75,0.8133779851,0.73975
2,2,75,0.7816747479,0.7543333333
2,3,75,0.7767516813,0.7409166667
2,4,75,0.8036222595,0.746
3,0,75,0.8653951825,0.735
3,1,75,0.7842488662,0.7503333333
3,2,75,0.8188557817,0.7439166667
3,3,75,0.8089441578,0.7445833333
3,4,75,0.7769635603,0.7554166667
4,0,75,0.8220041027,0.73725
4,1,75,0.8164301602,0.7401666667
4,2,75,0.8301100582,0.73675
4,3,75,0.8077031077,0.7405833333
4,4,75,0.8452614052,0.7395833333
0,0,75,0.8335822217,0.7365833333
0,1,75,0.8118402496,0.7495833333
0,2,75,0.825990849,0.7340833333
0,3,75,0.8350935005,0.7259166667
0,4,75,0.8319420412,0.7441666667
1,0,80,0.8896454491,0.7240833333
1,1,80,0.8203622276,0.74725
1,2,80,0.8467664769,0.7414166667
1,3,80,0.8427952235,0.726
1,4,80,0.8097776957,0.7441666667
2,0,80,0.8606953228,0.7353333333
2,1,80,0.8458321018,0.73625
2,2,80,0.8732338036,0.726
2,3,80,0.8654195139,0.7189166667
2,4,80,0.8254397337,0.731
3,0,80,0.8452440354,0.73225
3,1,80,0.8120300305,0.7455833333
3,2,80,0.8171014222,0.74575
3,3,80,0.8220221827,0.7316666667
3,4,80,0.8425407859,0.7293333333
4,0,80,0.8377708418,0.7465833333
4,1,80,0.8089832877,0.74175
4,2,80,0.8307493091,0.7296666667
4,3,80,0.8492247225,0.7201666667
4,4,80,0.8415008639,0.74325
0,0,80,0.8357762784,0.7383333333
0,1,80,0.82574844,0.7463333333
0,2,80,0.8267881691,0.7401666667
0,3,80,0.8491303414,0.7299166667
0,4,80,0.8063042877,0.7454166667
1,0,85,0.893434344,0.7224166667
1,1,85,0.8195888302,0.74075
1,2,85,0.8434186832,0.7361666667
1,3,85,0.8595704722,0.73075
1,4,85,0.9063435327,0.7205833333
2,0,85,0.8943804492,0.7285833333
2,1,85,0.8348029586,0.73425
2,2,85,0.9226925941,0.7155
2,3,85,0.8536924795,0.7175833333
2,4,85,0.8352371879,0.73725
3,0,85,0.8824806674,0.7265
3,1,85,0.8400618916,0.73475
3,2,85,0.8593476739,0.72125
3,3,85,0.8449416567,0.7314166667
