"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,50,0.6994166667,0.8627809625
0,1,50,0.7003333333,0.8758661805
0,2,50,0.69525,0.8897890093
0,3,50,0.681,0.9483731525
0,4,50,0.684,0.9200444469
2,0,75,0.5824166667,1.1919427099
2,1,75,0.55375,1.2843698786
2,2,75,0.5329166667,1.3841349912
2,3,75,0.5425,1.2747123268
2,4,75,0.50075,1.4467563593
2,0,75,0.4915,1.4070086042
2,1,75,0.5236666667,1.3372350486
2,2,75,0.4994166667,1.4038436163
2,3,75,0.502,1.3947742709
2,4,75,0.5264166667,1.3631515961
2,0,75,0.4063333333,1.6665330502
2,1,75,0.44125,1.5773834543
2,2,75,0.4156666667,1.6051057383
2,3,75,0.4161666667,1.6170784365
2,4,75,0.4520833333,1.5202485196
2,0,75,0.3070833333,1.9140106846
2,1,75,0.3166666667,1.9132577387
2,2,75,0.2995,1.958599658
2,3,75,0.2906666667,1.986102671
2,4,75,0.27625,1.9829523096
0,0,75,0.5774166667,1.1771854254
0,1,75,0.579,1.2291550242
0,2,75,0.612,1.126301501
0,3,75,0.6154166667,1.0991644651
0,4,75,0.62675,1.0595977456
3,0,80,0.7556666667,0.7390469378
3,1,80,0.7503333333,0.7432444618
3,2,80,0.7360833333,0.76082839
3,3,80,0.73275,0.7974153907
3,4,80,0.74425,0.7402673432
3,0,80,0.7438333333,0.747506553
3,1,80,0.7510833333,0.7407666621
3,2,80,0.7378333333,0.7996430303
3,3,80,0.742,0.7583129143
3,4,80,0.7440833333,0.740342196
3,0,80,0.7225833333,0.7831554771
3,1,80,0.7406666667,0.7548151483
3,2,80,0.7245,0.8079395032
3,3,80,0.7206666667,0.8274660994
3,4,80,0.7369166667,0.7656803693
3,0,80,0.7118333333,0.8312654264
3,1,80,0.6841666667,0.9099621644
3,2,80,0.6831666667,0.8989602815
3,3,80,0.6755,0.9414450594
3,4,80,0.6864166667,0.9021219439
0,0,80,0.5963333333,1.1452973099
0,1,80,0.5863333333,1.1824744164
0,2,80,0.5815,1.1879240392
0,3,80,0.6089166667,1.1042670417
0,4,80,0.59525,1.1366755551
3,0,85,0.6290833333,1.064225738
3,1,85,0.6191666667,1.1046173035
3,2,85,0.5773333333,1.23003874
3,3,85,0.6105,1.1267221437
3,4,85,0.6324166667,1.0609714071
3,0,85,0.5898333333,1.157016971
3,1,85,0.5703333333,1.2690415045
3,2,85,0.60275,1.1198627752
3,3,85,0.61525,1.0935492741
3,4,85,0.59125,1.1892184925
3,0,85,0.5511666667,1.2708442453
3,1,85,0.53575,1.2986752818
3,2,85,0.55775,1.2548199058
3,3,85,0.5544166667,1.2692449827
3,4,85,0.5205,1.3447828994
3,0,85,0.5048333333,1.390426249
3,1,85,0.5288333333,1.3313176948
3,2,85,0.4895833333,1.4017700537
3,3,85,0.4471666667,1.6489700993
3,4,85,0.4988333333,1.4082877752
0,0,85,0.5795833333,1.20228374
0,1,85,0.5660833333,1.2371776492
0,2,85,0.4999166667,1.4203717267
0,3,85,0.5559166667,1.2385058799
0,4,85,0.50875,1.4561379876
3,0,90,0.4049166667,1.6231435506
3,1,90,0.4224166667,1.5857118114
3,2,90,0.4380833333,1.5518816493
3,3,90,0.43625,1.5489070276
3,4,90,0.4335,1.5474329195
3,0,90,0.2846666667,1.9686675021
3,1,90,0.3105,1.9389174948
3,2,90,0.2846666667,1.9355671323
3,3,90,0.3005,1.955606938
3,4,90,0.3536666667,1.8349491018
4,0,90,0.7415,0.7519187249
4,1,90,0.7489166667,0.7283826535
4,2,90,0.74425,0.7842167989
4,3,90,0.7559166667,0.7130427178
4,4,90,0.7656666667,0.6898297974
4,0,90,0.7558333333,0.7101210518
4,1,90,0.74525,0.7440026368
4,2,90,0.7241666667,0.8080992517
4,3,90,0.7423333333,0.7338479213
4,4,90,0.7634166667,0.6934954394
0,0,90,0.5075833333,1.3666136592
0,1,90,0.4939166667,1.4607061632
0,2,90,0.4921666667,1.4097123725
0,3,90,0.4955833333,1.4163014763
0,4,90,0.4869166667,1.5005519501
4,0,95,0.7174166667,0.8162753607
4,1,95,0.7218333333,0.830517705
4,2,95,0.7105,0.8351249542
4,3,95,0.72725,0.8053480994
4,4,95,0.73675,0.7630649134
4,0,95,0.67525,0.9538433915
4,1,95,0.697,0.8830357199
4,2,95,0.67225,0.9412341023
