Run Number,Mutation Number,Percentage,Std_Percentage,Loss,Accuracy
3,3,75,25,1.489089427,0.562916667
3,4,75,25,1.506032114,0.543666667
4,0,75,25,1.665828718,0.498333333
4,1,75,25,1.445294364,0.5455
4,2,75,25,1.450986655,0.569166667
4,3,75,25,1.945470138,0.425416667
4,4,75,25,1.375116715,0.571083333
0,0,75,50,1.611777845,0.561833333
0,1,75,50,1.818589841,0.512333333
0,2,75,50,2.081270255,0.47575
0,3,75,50,1.831362619,0.48025
0,4,75,50,1.622837884,0.502833333
1,0,75,50,1.491849198,0.556833333
1,1,75,50,2.199626753,0.433833333
1,2,75,50,2.178925182,0.439333333
1,3,75,50,1.730988245,0.497166667
1,4,75,50,1.714891757,0.4885
2,0,75,50,1.67842014,0.514
2,1,75,50,1.479730172,0.54325
2,2,75,50,1.609761939,0.5165
2,3,75,50,1.670945857,0.540916667
2,4,75,50,1.554066088,0.539666667
3,0,75,50,2.243206888,0.396833333
3,1,75,50,1.386409193,0.585333333
3,2,75,50,1.559145509,0.529833333
3,3,75,50,1.223464458,0.592166667
3,4,75,50,1.722639215,0.512166667
4,0,75,50,2.539389159,0.410333333
4,1,75,50,1.562789464,0.536666667
4,2,75,50,1.680600859,0.5055
4,3,75,50,1.691931517,0.533
4,4,75,50,1.714370981,0.513666667
0,0,75,75,1.856755417,0.480166667
0,1,75,75,1.996315362,0.459083333
0,2,75,75,1.634880687,0.52775
0,3,75,75,1.759216237,0.506666667
0,4,75,75,2.214517852,0.45575
1,0,75,75,1.672543904,0.517416667
1,1,75,75,1.765984708,0.4725
1,2,75,75,1.81155612,0.48325
1,3,75,75,2.201097729,0.421
1,4,75,75,1.970444465,0.466916667
2,0,75,75,1.919137685,0.463
2,1,75,75,1.413702827,0.560666667
2,2,75,75,1.820197649,0.488
2,3,75,75,1.811149177,0.489416667
2,4,75,75,2.303295802,0.4215
3,0,75,75,2.390660533,0.38225
3,1,75,75,2.025484423,0.423166667
3,2,75,75,2.396484448,0.36725
3,3,75,75,2.216154565,0.382916667
3,4,75,75,2.335996676,0.384833333
4,0,75,75,1.948329554,0.469083333
4,1,75,75,1.881211939,0.474333333
4,2,75,75,1.761274229,0.519583333
4,3,75,75,1.781453588,0.483666667
4,4,75,75,1.658674498,0.5365
0,0,75,100,1.76403842,0.489583333
0,1,75,100,1.845538463,0.485833333
0,2,75,100,1.615073664,0.539333333
0,3,75,100,1.565796368,0.531583333
0,4,75,100,1.824384304,0.49725
1,0,75,100,1.736914869,0.493
1,1,75,100,1.516640367,0.5545
1,2,75,100,1.71383854,0.508666667
1,3,75,100,1.898853072,0.447583333
1,4,75,100,2.089393028,0.444333333
2,0,75,100,1.851072954,0.480666667
2,1,75,100,1.773308686,0.49675
2,2,75,100,1.911039105,0.458416667
2,3,75,100,1.417169411,0.548083333
2,4,75,100,1.835476637,0.493833333
3,0,75,100,1.883825814,0.465833333
3,1,75,100,1.728315648,0.4715
3,2,75,100,1.817829285,0.484583333
3,3,75,100,1.800765044,0.471333333
3,4,75,100,2.4257357,0.389
4,0,75,100,1.798582739,0.503416667
4,1,75,100,2.178931984,0.424666667
4,2,75,100,1.755108316,0.4885
4,3,75,100,1.990889407,0.456166667
4,4,75,100,1.883770236,0.479
0,0,80,25,1.709743896,0.4875
0,1,80,25,1.298597673,0.564
0,2,80,25,1.793101894,0.470083333
0,3,80,25,1.606827865,0.510083333
0,4,80,25,1.847433407,0.457
1,0,80,25,1.340621296,0.551083333
1,1,80,25,1.954981597,0.439416667
1,2,80,25,1.931287895,0.432166667
1,3,80,25,1.83236458,0.4525
1,4,80,25,1.738157489,0.468416667
2,0,80,25,1.383157747,0.547
2,1,80,25,1.56163221,0.52875
2,2,80,25,1.9349228,0.495666667
2,3,80,25,1.555055029,0.511833333
2,4,80,25,1.43893862,0.5615
3,0,80,25,1.721495598,0.473833333
3,1,80,25,1.982154698,0.454
3,2,80,25,2.057754619,0.436333333
3,3,80,25,1.896296285,0.46375
3,4,80,25,1.475987568,0.529166667
4,0,80,25,1.900023916,0.431416667
4,1,80,25,1.604889963,0.517083333
4,2,80,25,1.519759681,0.526916667
4,3,80,25,1.637920444,0.507
4,4,80,25,1.392766529,0.5545
0,0,80,50,1.922877918,0.423666667
0,1,80,50,1.99896703,0.430583333
0,2,80,50,1.756763895,0.48775
0,3,80,50,2.150345609,0.393583333
0,4,80,50,1.901564667,0.461083333
1,0,80,50,1.526774254,0.54225
1,1,80,50,2.05030661,0.469166667
1,2,80,50,1.800931571,0.455
1,3,80,50,1.906877486,0.45325
1,4,80,50,1.564626704,0.50775
2,0,80,50,1.542050817,0.539416667
2,1,80,50,1.867830765,0.4565
2,2,80,50,1.917242634,0.449416667
2,3,80,50,1.670103841,0.496583333
2,4,80,50,1.943070432,0.452833333
3,0,80,50,2.146908608,0.391916667
3,1,80,50,1.527221912,0.524833333
3,2,80,50,1.576430065,0.53725
3,3,80,50,1.712829577,0.528416667
3,4,80,50,2.085595199,0.407916667
4,0,80,50,1.817314777,0.47275
4,1,80,50,1.96225155,0.470083333
4,2,80,50,1.824194699,0.470166667
4,3,80,50,2.332827539,0.3875
4,4,80,50,1.730214968,0.487166667
0,0,80,75,1.933337846,0.451083333
0,1,80,75,1.752991735,0.49075
0,2,80,75,1.772161247,0.486833333
0,3,80,75,1.940112492,0.442833333
0,4,80,75,3.124289376,0.386
1,0,80,75,1.891161421,0.4685
1,1,80,75,1.540455403,0.532583333
1,2,80,75,2.195666075,0.390333333
1,3,80,75,1.973520531,0.46325
1,4,80,75,1.823554033,0.48125
2,0,80,75,2.190437054,0.425833333
2,1,80,75,1.936959995,0.478833333
2,2,80,75,1.68879554,0.49525
2,3,80,75,1.994675512,0.449666667
