"Run Number","Mutation Number","Percentage","Accuracy","Loss"
3,2,50,0.6708333333,1.3600151431
3,3,50,0.68925,1.2647423176
3,4,50,0.6760833333,1.2287070352
4,0,50,0.707,1.1384927272
4,1,50,0.6150833333,1.5899592663
4,2,50,0.7119166667,1.2277750778
4,3,50,0.7429166667,0.9902650652
4,4,50,0.6529166667,1.4438168685
0,0,75,0.6295,1.4460623625
0,1,75,0.7099166667,1.0951906419
0,2,75,0.659,1.3493454509
0,3,75,0.6713333333,1.2731134634
0,4,75,0.7,1.121116806
1,0,75,0.69625,1.1606068011
1,1,75,0.6651666667,1.2926807734
1,2,75,0.5528333333,1.8458597666
1,3,75,0.68375,1.2991010691
1,4,75,0.61625,1.5151559973
2,0,75,0.6238333333,1.4283218729
2,1,75,0.6579166667,1.2998849257
2,2,75,0.7030833333,1.2003294377
2,3,75,0.6178333333,1.6357066213
2,4,75,0.6420833333,1.4423750347
3,0,75,0.5986666667,1.6113462737
3,1,75,0.6501666667,1.3268889914
3,2,75,0.6526666667,1.3347123237
3,3,75,0.6519166667,1.4036753893
3,4,75,0.583,1.6956075468
4,0,75,0.5809166667,1.5657169844
4,1,75,0.6534166667,1.4007479844
4,2,75,0.5258333333,1.8973407731
4,3,75,0.6809166667,1.2085063537
4,4,75,0.671,1.3133153156
0,0,80,0.6898333333,1.2035178969
0,1,80,0.6629166667,1.1946496882
0,2,80,0.5879166667,1.7747782667
0,3,80,0.6490833333,1.2926422125
0,4,80,0.6601666667,1.3684364978
1,0,80,0.6695,1.2446128794
1,1,80,0.5849166667,1.543479226
1,2,80,0.612,1.5374151888
1,3,80,0.6208333333,1.4245865682
1,4,80,0.6645,1.2089921934
2,0,80,0.6951666667,1.1706730986
2,1,80,0.6565833333,1.3412118489
2,2,80,0.6805,1.2333508166
2,3,80,0.6794166667,1.2960250874
2,4,80,0.57625,1.7120010366
3,0,80,0.6895,1.2351667441
3,1,80,0.7070833333,1.0691946479
3,2,80,0.6810833333,1.2371524329
3,3,80,0.6840833333,1.1969694506
3,4,80,0.6693333333,1.249605165
4,0,80,0.56575,1.6463706849
4,1,80,0.5975833333,1.8142361673
4,2,80,0.7065,1.108648112
4,3,80,0.6863333333,1.2827889784
4,4,80,0.55925,1.6896431516
0,0,85,0.6809166667,1.1276849786
0,1,85,0.6690833333,1.2861871276
0,2,85,0.6369166667,1.3680409478
0,3,85,0.62825,1.4514906837
0,4,85,0.614,1.4727873815
1,0,85,0.564,1.6315066942
1,1,85,0.6741666667,1.2501213247
1,2,85,0.6261666667,1.4299893737
