"Run Number","Mutation Number","Percentage","Accuracy","Loss"
3,1,95,0.6373333333,1.5014566833
3,2,95,0.5519166667,1.948287892
3,3,95,0.6573333333,1.3168226824
3,4,95,0.636,1.4528920163
4,0,95,0.6403333333,1.3786089083
4,1,95,0.6065833333,1.8041653419
4,2,95,0.5855833333,1.8079419573
4,3,95,0.62075,1.5307094412
4,4,95,0.6814166667,1.2660585895
0,0,99,0.6586666665,1.4287999439
0,1,99,0.6586666668,1.4951143599
0,2,99,0.6233333335,1.4600070244
0,3,99,0.6621666668,1.2577291972
0,4,99,0.6487499998,1.4166205104
1,0,99,0.6594999998,1.5422240127
1,1,99,0.6588333332,1.4988295863
1,2,99,0.6266666668,1.9855068652
1,3,99,0.6227499998,1.4657105846
1,4,99,0.6590833332,1.406518362
2,0,99,0.568,1.9905427252
2,1,99,0.608,2.0067908484
2,2,99,0.49175,2.5915398932
2,3,99,0.6078333333,1.8069765077
2,4,99,0.5906666667,1.86350785
3,0,99,0.59575,1.8330428004
3,1,99,0.6283333333,1.5476946384
3,2,99,0.6225833333,1.6703974902
3,3,99,0.5981666667,1.9679982648
3,4,99,0.5495,2.402936801
4,0,99,0.60875,2.0487287717
4,1,99,0.63,1.5864614665
4,2,99,0.6166666667,1.9942099865
4,3,99,0.63725,1.5818984397
4,4,99,0.6168333333,1.7568809152
0,0,100,0.6654166665,2.0515990575
0,1,100,0.6222499998,2.3543868287
0,2,100,0.6640000002,2.008427131
0,3,100,0.6416666668,2.0800016381
0,4,100,0.6486666667,2.2321601823
1,0,100,0.6161666667,2.3593554891
1,1,100,0.66075,2.1238268604
1,2,100,0.6204999998,2.1221783307
1,3,100,0.6490833335,1.9242833312
1,4,100,0.6243333335,2.5670906811
2,0,100,0.6151666667,2.301736677
2,1,100,0.6644166667,2.0177656668
2,2,100,0.63,2.5553605324
2,3,100,0.56475,2.7985365763
2,4,100,0.5798333333,2.7824240732
3,0,100,0.60575,2.700426486
3,1,100,0.6026666667,2.646387008
3,2,100,0.5885833333,2.6172979415
3,3,100,0.5426666667,3.0331400992
3,4,100,0.5781666667,2.8027209943
4,0,100,0.6648333333,2.1809712486
4,1,100,0.61625,2.5520169164
4,2,100,0.6418333333,2.241648441
4,3,100,0.63475,2.2961117029
4,4,100,0.6124166667,2.329773774
